seed,algo,t_ms,hv_now,bsf_hv
5,MOEA/D,949.46,0.4695422907764145,0.4695422907764145
5,MOEA/D,998.305,0.47476200136723734,0.47476200136723734
5,MOEA/D,1047.895,0.5506503609950089,0.5506503609950089
5,MOEA/D,1096.198,0.5506503609950089,0.5506503609950089
5,MOEA/D,1144.924,0.5912571842192935,0.5912571842192935
5,MOEA/D,1194.127,0.5912571842192935,0.5912571842192935
5,MOEA/D,1241.792,0.627598194113497,0.627598194113497
5,MOEA/D,1290.722,0.6280928730236246,0.6280928730236246
5,MOEA/D,1339.174,0.6325191155303839,0.6325191155303839
5,MOEA/D,1385.909,0.6344987672241673,0.6344987672241673
5,MOEA/D,1449.917,0.6444477139642886,0.6444477139642886
5,MOEA/D,1499.072,0.6436704901104016,0.6444477139642886
5,MOEA/D,1547.718,0.6501538694680311,0.6501538694680311
5,MOEA/D,1594.94,0.6502414811747373,0.6502414811747373
5,MOEA/D,1643.077,0.658468389102254,0.658468389102254
5,MOEA/D,1689.699,0.6628813986182298,0.6628813986182298
5,MOEA/D,1736.449,0.6770135915144393,0.6770135915144393
5,MOEA/D,1799.449,0.6805494432669784,0.6805494432669784
5,MOEA/D,1846.16,0.6707431590470971,0.6805494432669784
5,MOEA/D,1893.091,0.6725868171439854,0.6805494432669784
5,MOEA/D,1940.819,0.6723241541466711,0.6805494432669784
5,MOEA/D,1988.524,0.6729238656954091,0.6805494432669784
5,MOEA/D,2035.589,0.6759428454483969,0.6805494432669784
5,MOEA/D,2098.641,0.6765560485126397,0.6805494432669784
5,MOEA/D,2146.016,0.676711288237212,0.6805494432669784
5,MOEA/D,2192.948,0.693368776846323,0.693368776846323
5,MOEA/D,2239.624,0.7047148529864563,0.7047148529864563
5,MOEA/D,2286.742,0.7047148529864563,0.7047148529864563
5,MOEA/D,2334.368,0.7065756174417949,0.7065756174417949
5,MOEA/D,2396.95,0.7092079355994029,0.7092079355994029
5,MOEA/D,2444.588,0.7092079355994029,0.7092079355994029
5,MOEA/D,2491.527,0.709214164059558,0.709214164059558
5,MOEA/D,2538.496,0.7171659842779359,0.7171659842779359
5,MOEA/D,2585.376,0.7173476494414117,0.7173476494414117
5,MOEA/D,2647.832,0.7173476494414117,0.7173476494414117
5,MOEA/D,2695.751,0.7176131295722051,0.7176131295722051
5,MOEA/D,2742.876,0.7176131295722051,0.7176131295722051
5,MOEA/D,2789.645,0.7176131295722051,0.7176131295722051
5,MOEA/D,2837.143,0.7176643886604224,0.7176643886604224
5,MOEA/D,2899.719,0.7241915047845239,0.7241915047845239
5,MOEA/D,2946.522,0.7253222655584483,0.7253222655584483
5,MOEA/D,2993.449,0.7253778627606748,0.7253778627606748
5,MOEA/D,3040.187,0.7265637153378537,0.7265637153378537
5,MOEA/D,3087.215,0.7666395091625775,0.7666395091625775
5,MOEA/D,3134.628,0.7666674860780094,0.7666674860780094
5,MOEA/D,3166.273,0.7667328366884997,0.7667328366884997
6,AW-NSGA-II,49.5,0.0,0.0
6,AW-NSGA-II,99.194,0.0,0.0
6,AW-NSGA-II,148.153,0.0,0.0
6,AW-NSGA-II,197.627,0.0,0.0
6,AW-NSGA-II,247.888,0.0,0.0
6,AW-NSGA-II,297.922,0.0018116264101708458,0.0018116264101708458
6,AW-NSGA-II,347.351,0.021244754722643113,0.021244754722643113
6,AW-NSGA-II,397.066,0.035491007561703716,0.035491007561703716
6,AW-NSGA-II,446.533,0.05601110221577981,0.05601110221577981
6,AW-NSGA-II,496.435,0.08242900732072113,0.08242900732072113
6,AW-NSGA-II,546.686,0.12057855413727368,0.12057855413727368
6,AW-NSGA-II,597.276,0.18126159287001414,0.18126159287001414
6,AW-NSGA-II,647.767,0.22370763928044435,0.22370763928044435
6,AW-NSGA-II,696.78,0.23660692689289614,0.23660692689289614
6,AW-NSGA-II,746.869,0.27041061281069695,0.27041061281069695
6,AW-NSGA-II,796.56,0.327348883180805,0.327348883180805
6,AW-NSGA-II,825.356,0.34112351025875554,0.34112351025875554
6,MOEA/D,47.04,0.0,0.0
6,MOEA/D,94.537,0.0,0.0
6,MOEA/D,142.157,0.0,0.0
6,MOEA/D,189.344,0.0,0.0
6,MOEA/D,239.398,0.0,0.0
6,MOEA/D,285.533,0.007466863308418417,0.007466863308418417
6,MOEA/D,349.459,0.04494103986431314,0.04494103986431314
6,MOEA/D,396.65,0.057356945009665955,0.057356945009665955
6,MOEA/D,443.363,0.06783381663573448,0.06783381663573448
6,MOEA/D,490.566,0.1376741100254099,0.1376741100254099
6,MOEA/D,538.477,0.17739070621122907,0.17739070621122907
6,MOEA/D,587.446,0.20919446612181464,0.20919446612181464
6,MOEA/D,646.236,0.25403466087764526,0.25403466087764526
6,MOEA/D,693.139,0.27804802886191726,0.27804802886191726
6,MOEA/D,741.003,0.3310723341043006,0.3310723341043006
6,MOEA/D,788.771,0.36446691613062393,0.36446691613062393
6,MOEA/D,836.562,0.370297011680671,0.370297011680671
6,MOEA/D,899.318,0.3812206367169202,0.3812206367169202
6,MOEA/D,947.094,0.3945433808929838,0.3945433808929838
6,MOEA/D,995.243,0.4191670154508716,0.4191670154508716
6,MOEA/D,1043.059,0.4318432956096379,0.4318432956096379
6,MOEA/D,1090.793,0.4462914535106629,0.4462914535106629
6,MOEA/D,1137.917,0.5051894513229209,0.5051894513229209
6,MOEA/D,1185.965,0.5167836002319299,0.5167836002319299
6,MOEA/D,1248.392,0.5394685231982275,0.5394685231982275
6,MOEA/D,1295.224,0.5435667357087053,0.5435667357087053
6,MOEA/D,1343.082,0.5410574470873126,0.5435667357087053
6,MOEA/D,1390.195,0.5575368939594145,0.5575368939594145
6,MOEA/D,1439.342,0.5680148145841348,0.5680148145841348
6,MOEA/D,1487.321,0.570892110130049,0.570892110130049
