seed,algo,metric,t_ms,final_hv
18,AW-NSGA-II,t50,447.88079999943875,0.5900244127598455
18,AW-NSGA-II,t90,749.91879999925,0.5900244127598455
18,AW-NSGA-II,t99,830.2459999995335,0.5900244127598455
18,MOEA/D,t50,1184.8827999992864,0.9631042606732485
18,MOEA/D,t90,2344.0656999991916,0.9631042606732485
18,MOEA/D,t99,2683.303999999225,0.9631042606732485
19,AW-NSGA-II,t50,448.0369000002611,0.5825045451143831
19,AW-NSGA-II,t90,796.5274999996836,0.5825045451143831
19,AW-NSGA-II,t99,871.6832000000068,0.5825045451143831
19,MOEA/D,t50,789.8599999998623,0.8508378516096926
19,MOEA/D,t90,2396.5795999993134,0.8508378516096926
19,MOEA/D,t99,2838.127099999838,0.8508378516096926
20,AW-NSGA-II,t50,549.8950000001059,0.19596310553486898
20,AW-NSGA-II,t90,836.2405000007129,0.19596310553486898
20,AW-NSGA-II,t99,836.2405000007129,0.19596310553486898
20,MOEA/D,t50,1249.1595000001325,0.6563782083485111
20,MOEA/D,t90,2439.89479999982,0.6563782083485111
20,MOEA/D,t99,3184.2891999995118,0.6563782083485111
21,AW-NSGA-II,t50,547.6023999999597,0.5132748382174406
21,AW-NSGA-II,t90,746.447900000021,0.5132748382174406
21,AW-NSGA-II,t99,842.899899999793,0.5132748382174406
21,MOEA/D,t50,1044.1874000007374,0.5153174943383576
21,MOEA/D,t90,2341.5859000006094,0.5153174943383576
21,MOEA/D,t99,3136.739000000489,0.5153174943383576
22,AW-NSGA-II,t50,549.6048999993945,0.30884974597516035
22,AW-NSGA-II,t90,797.5287999997818,0.30884974597516035
22,AW-NSGA-II,t99,842.0814999999493,0.30884974597516035
22,MOEA/D,t50,1135.3701000007277,0.76690776389499
22,MOEA/D,t90,3040.851300000213,0.76690776389499
22,MOEA/D,t99,3136.131500000374,0.76690776389499
23,AW-NSGA-II,t50,446.18700000046374,0.3161259482716233
23,AW-NSGA-II,t90,796.1851000000024,0.3161259482716233
23,AW-NSGA-II,t99,838.6192000007213,0.3161259482716233
23,MOEA/D,t50,748.8560000001598,0.9363650578582665
23,MOEA/D,t90,2193.097499999567,0.9363650578582665
23,MOEA/D,t99,2938.125200000286,0.9363650578582665
24,AW-NSGA-II,t50,445.4272000002675,0.589161632170691
24,AW-NSGA-II,t90,846.4875999998185,0.589161632170691
24,AW-NSGA-II,t99,846.4875999998185,0.589161632170691
24,MOEA/D,t50,592.3234000001685,0.7983950532284729
24,MOEA/D,t90,1639.4202999999834,0.7983950532284729
24,MOEA/D,t99,2938.7550000001283,0.7983950532284729
25,AW-NSGA-II,t50,447.99979999970674,0.5286825521431486
25,AW-NSGA-II,t90,797.0148999993398,0.5286825521431486
25,AW-NSGA-II,t99,835.9433999994508,0.5286825521431486
25,MOEA/D,t50,993.378400000438,0.8264388286068153
25,MOEA/D,t90,2244.5865999998205,0.8264388286068153
25,MOEA/D,t99,3036.156799999844,0.8264388286068153
26,AW-NSGA-II,t50,646.4082000002236,0.35332598337541
26,AW-NSGA-II,t90,848.064499999964,0.35332598337541
26,AW-NSGA-II,t99,898.3039000004283,0.35332598337541
26,MOEA/D,t50,587.6566999995703,0.6003977801796243
26,MOEA/D,t90,2192.952200000036,0.6003977801796243
26,MOEA/D,t99,3231.8906000000425,0.6003977801796243
27,AW-NSGA-II,t50,397.6493999998638,0.38842165005101137
27,AW-NSGA-II,t90,797.2663999998986,0.38842165005101137
27,AW-NSGA-II,t99,839.2216000002009,0.38842165005101137
27,MOEA/D,t50,1147.385100000065,0.7079868049136113
27,MOEA/D,t90,2549.12719999993,0.7079868049136113
27,MOEA/D,t99,3188.0170000004,0.7079868049136113
28,AW-NSGA-II,t50,449.7051999996984,0.542175301307881
28,AW-NSGA-II,t90,797.663499999544,0.542175301307881
28,AW-NSGA-II,t99,827.1899999999732,0.542175301307881
28,MOEA/D,t50,1439.5417000005182,0.8160326225098694
28,MOEA/D,t90,2898.527300000751,0.8160326225098694
28,MOEA/D,t99,2947.080700000697,0.8160326225098694
29,AW-NSGA-II,t50,396.07619999969756,0.6074484971332277
29,AW-NSGA-II,t90,848.707000000104,0.6074484971332277
29,AW-NSGA-II,t99,865.6522999999652,0.6074484971332277
29,MOEA/D,t50,1185.2772000002005,0.9752493496961531
29,MOEA/D,t90,2188.8460000000123,0.9752493496961531
29,MOEA/D,t99,2346.5162000002238,0.9752493496961531
30,AW-NSGA-II,t50,499.19989999943937,0.34678138712361467
30,AW-NSGA-II,t90,796.6355999997177,0.34678138712361467
30,AW-NSGA-II,t99,890.24739999968,0.34678138712361467
30,MOEA/D,t50,1639.4910999997592,0.9758032834800955
30,MOEA/D,t90,2542.8671999998187,0.9758032834800955
30,MOEA/D,t99,3216.7351999996754,0.9758032834800955
31,AW-NSGA-II,t50,397.4663999997574,0.5117283599428452
31,AW-NSGA-II,t90,749.4518000003154,0.5117283599428452
31,AW-NSGA-II,t99,799.6842000002289,0.5117283599428452
31,MOEA/D,t50,1090.533499999765,0.556551046740533
31,MOEA/D,t90,2948.7387999997736,0.556551046740533
31,MOEA/D,t99,3141.763699999501,0.556551046740533
32,AW-NSGA-II,t50,398.8321000006181,0.4868392855311664
32,AW-NSGA-II,t90,748.9479000005304,0.4868392855311664
32,AW-NSGA-II,t99,846.9598000001497,0.4868392855311664
32,MOEA/D,t50,1249.2394000000786,0.6424434310301739
32,MOEA/D,t90,3034.8212999997486,0.6424434310301739
32,MOEA/D,t99,3146.0160999995423,0.6424434310301739
33,AW-NSGA-II,t50,497.56320000051346,0.6096568974051342
33,AW-NSGA-II,t90,796.774500000538,0.6096568974051342
33,AW-NSGA-II,t99,856.1798000000636,0.6096568974051342
33,MOEA/D,t50,1638.4526000001642,0.7911814164676683
33,MOEA/D,t90,2893.6290999999983,0.7911814164676683
33,MOEA/D,t99,3193.640999999843,0.7911814164676683
34,AW-NSGA-II,t50,447.71399999990535,0.7126220277819729
34,AW-NSGA-II,t90,746.3399000007485,0.7126220277819729
34,AW-NSGA-II,t99,864.0186000002359,0.7126220277819729
34,MOEA/D,t50,897.7401000001919,0.7746991548112812
34,MOEA/D,t90,1797.0152999996571,0.7746991548112812
34,MOEA/D,t99,2393.189999999777,0.7746991548112812
35,AW-NSGA-II,t50,495.5585000006977,0.47217123668662686
35,AW-NSGA-II,t90,746.2986000000456,0.47217123668662686
