seed,algo,budget_ms,bsf_hv
38,MOEA/D,100,0.0
38,MOEA/D,200,0.0
38,MOEA/D,500,0.21116722712703306
38,MOEA/D,1000,0.5339076747400738
38,MOEA/D,2000,0.6815216084716673
39,AW-NSGA-II,100,0.0
39,AW-NSGA-II,200,0.0023868244272589956
39,AW-NSGA-II,500,0.12707295965031673
39,AW-NSGA-II,1000,0.37575319057366285
39,AW-NSGA-II,2000,0.37575319057366285
39,MOEA/D,100,0.0
39,MOEA/D,200,0.0
39,MOEA/D,500,0.07470637059601348
39,MOEA/D,1000,0.4566519530903847
39,MOEA/D,2000,0.6842638822230978
40,AW-NSGA-II,100,0.0
40,AW-NSGA-II,200,0.0
40,AW-NSGA-II,500,0.19277144684265082
40,AW-NSGA-II,1000,0.3609582565444518
40,AW-NSGA-II,2000,0.3609582565444518
40,MOEA/D,100,0.0
40,MOEA/D,200,0.0
40,MOEA/D,500,0.07082728008657689
40,MOEA/D,1000,0.2275906637565785
40,MOEA/D,2000,0.37619460529867776
41,AW-NSGA-II,100,0.0
41,AW-NSGA-II,200,0.05917161871590306
41,AW-NSGA-II,500,0.28944523711237136
41,AW-NSGA-II,1000,0.5211847198108746
41,AW-NSGA-II,2000,0.5211847198108746
41,MOEA/D,100,0.0
41,MOEA/D,200,0.0
41,MOEA/D,500,0.0008521467901078341
41,MOEA/D,1000,0.19265557067385375
41,MOEA/D,2000,0.554526725385097
42,AW-NSGA-II,100,0.0
42,AW-NSGA-II,200,0.006626874245770777
42,AW-NSGA-II,500,0.24237018038254327
42,AW-NSGA-II,1000,0.4530070109915757
42,AW-NSGA-II,2000,0.4530070109915757
42,MOEA/D,100,0.0
42,MOEA/D,200,0.00045824930104334724
42,MOEA/D,500,0.13368885141552775
42,MOEA/D,1000,0.3084121048907187
42,MOEA/D,2000,0.5435933083851365
43,AW-NSGA-II,100,0.0
43,AW-NSGA-II,200,0.0
43,AW-NSGA-II,500,0.21732913550979277
43,AW-NSGA-II,1000,0.6466520357079519
43,AW-NSGA-II,2000,0.6466520357079519
43,MOEA/D,100,0.0
43,MOEA/D,200,0.0
43,MOEA/D,500,0.03429471899733236
43,MOEA/D,1000,0.27380480407408114
43,MOEA/D,2000,0.4502644514897115
44,AW-NSGA-II,100,0.0
44,AW-NSGA-II,200,0.03910288512886605
44,AW-NSGA-II,500,0.3354348959835993
44,AW-NSGA-II,1000,0.5284810356504215
44,AW-NSGA-II,2000,0.5284810356504215
44,MOEA/D,100,0.0
44,MOEA/D,200,0.019400462616994345
44,MOEA/D,500,0.11470676825855432
44,MOEA/D,1000,0.2761566930066517
44,MOEA/D,2000,0.6307690165073327
45,AW-NSGA-II,100,0.0
45,AW-NSGA-II,200,0.09355351826643554
45,AW-NSGA-II,500,0.38861447681184996
45,AW-NSGA-II,1000,0.8337835280891658
45,AW-NSGA-II,2000,0.8337835280891658
45,MOEA/D,100,0.0
45,MOEA/D,200,0.001996421055876979
45,MOEA/D,500,0.21183190996215012
45,MOEA/D,1000,0.463796845793346
45,MOEA/D,2000,0.6409136585421195
46,AW-NSGA-II,100,0.0
46,AW-NSGA-II,200,0.01090920836743605
46,AW-NSGA-II,500,0.2346829895950972
46,AW-NSGA-II,1000,0.352708905876683
46,AW-NSGA-II,2000,0.352708905876683
46,MOEA/D,100,0.0
46,MOEA/D,200,0.0
46,MOEA/D,500,0.07936063262961568
46,MOEA/D,1000,0.2553805403181743
46,MOEA/D,2000,0.567021554263849
47,AW-NSGA-II,100,0.00019824431544758375
47,AW-NSGA-II,200,0.03012058827996261
47,AW-NSGA-II,500,0.2903512761861453
47,AW-NSGA-II,1000,0.5377020838373127
47,AW-NSGA-II,2000,0.5377020838373127
47,MOEA/D,100,0.0
47,MOEA/D,200,0.0
47,MOEA/D,500,0.17728117624684253
47,MOEA/D,1000,0.4742732309091999
47,MOEA/D,2000,0.6265858497889994
48,AW-NSGA-II,100,0.0
48,AW-NSGA-II,200,0.0503755312327568
48,AW-NSGA-II,500,0.28145969786055547
48,AW-NSGA-II,1000,0.5454175831375988
48,AW-NSGA-II,2000,0.5454175831375988
48,MOEA/D,100,0.0
48,MOEA/D,200,0.0
48,MOEA/D,500,0.03689538824272084
48,MOEA/D,1000,0.34237284957471625
48,MOEA/D,2000,0.4198870032809103
49,AW-NSGA-II,100,0.0
49,AW-NSGA-II,200,0.14229333304733588
49,AW-NSGA-II,500,0.43424359487360004
49,AW-NSGA-II,1000,0.606195041902349
49,AW-NSGA-II,2000,0.606195041902349
49,MOEA/D,100,0.0
49,MOEA/D,200,0.0
49,MOEA/D,500,0.13681747944158515
49,MOEA/D,1000,0.18124763090055324
49,MOEA/D,2000,0.25422872014969455
50,AW-NSGA-II,100,0.0
50,AW-NSGA-II,200,0.0713907214473171
50,AW-NSGA-II,500,0.3517640867585291
50,AW-NSGA-II,1000,0.520837333698481
50,AW-NSGA-II,2000,0.520837333698481
50,MOEA/D,100,0.0
50,MOEA/D,200,0.004100215691227921
50,MOEA/D,500,0.13057999607435758
50,MOEA/D,1000,0.38246984254225797
50,MOEA/D,2000,0.6618917999093077
51,AW-NSGA-II,100,0.0
51,AW-NSGA-II,200,0.03448435058886233
51,AW-NSGA-II,500,0.2583501997048609
51,AW-NSGA-II,1000,0.5465843664122938
51,AW-NSGA-II,2000,0.5465843664122938
51,MOEA/D,100,0.0
51,MOEA/D,200,0.0
51,MOEA/D,500,0.22429586364336715
51,MOEA/D,1000,0.4138346992710822
51,MOEA/D,2000,0.5936468499481555
52,AW-NSGA-II,100,0.0
52,AW-NSGA-II,200,0.008708583784793666
