variant,seed,f1,f2,f4,gini_delta_h,delta_h_mean,evals
hard-only,13,330.6666666666667,2891.72508103333,97.64838319188104,0.33060317270091844,-0.12993097193051176,20000
-adaptW,13,386.6666666666667,3168.775676091372,43.5399323677347,0.3555062557729016,-0.1304114977151177,20000
GA-SA-multiSoH,13,294.0,2864.97994343381,64.64488869611617,0.3290273191147257,-0.12856890553297107,20000
MOEA/D,13,319.6666666666667,2751.1210554862864,71.69619427137893,0.34099697831675946,-0.13058038840623953,20000
Full,14,526.3333333333334,4029.810927929091,6.2140159357507025,0.5119265103279098,-0.0038393396689152424,20000
-health,14,287.66666666666663,2121.4596291976472,0.0,0.48274143644381096,-0.09961658504906398,20000
hard-only,14,378.0,2727.59246653385,96.62405670417019,0.44541876189792307,-0.10355709620339808,20000
-adaptW,14,367.3333333333333,3029.2194959877124,24.88375767239907,0.498818852218182,-0.047137179693107156,20000
GA-SA-multiSoH,14,305.0,2672.62951050385,50.56191949925767,0.4535438271337138,-0.0981437535305399,20000
MOEA/D,14,286.3333333333333,2519.273250452883,74.13250196173755,0.47329721254854284,-0.10024058292878905,20000
Full,15,384.0,3188.4952227755402,10.665281765547363,0.34503369629423464,0.016062381634563094,20000
-health,15,291.6666666666667,2034.5292023692539,0.0,0.340264902698451,-0.039697076361504505,20000
hard-only,15,351.3333333333333,2769.4458743864125,65.24791977471749,0.36549177753933515,-0.04099678952403577,20000
-adaptW,15,536.3333333333333,4186.499903216067,0.7924309649392652,0.43604525221955504,0.05533784046415637,20000
GA-SA-multiSoH,15,296.0,2709.0644264004604,35.947854993326345,0.33163787134511447,-0.03289549792044087,20000
MOEA/D,15,319.0,2681.391676450891,34.46491023060991,0.3474280159802876,-0.03631779057884078,20000
Full,16,376.3333333333333,3229.200716636356,92.83870720416878,0.3645772081479237,-0.10104164285898638,20000
-health,16,330.0,2091.287906982822,0.0,0.3476075847497764,-0.0983137417068155,20000
hard-only,16,307.0,3008.848780431367,122.96267438692534,0.34202552922352947,-0.09533310183386964,20000
-adaptW,16,588.6666666666666,5077.530680125522,14.850055140399665,0.46731862594710427,-0.01376917586348005,20000
GA-SA-multiSoH,16,328.0,3091.725457657926,92.09481622411582,0.32730276117751034,-0.09978794353327444,20000
MOEA/D,16,423.00000000000006,3273.7725210836697,73.87669378984671,0.3410888311073679,-0.08919244633375312,20000
Full,17,615.6666666666666,4727.023778457946,22.830248205213945,0.6238856005843343,-0.01680329340760032,20000
-health,17,271.0,2063.0093042072913,0.0,0.3675396994580391,-0.17478177699226863,20000
hard-only,17,276.0,2849.427454845829,199.40053095721402,0.36700223616360605,-0.17384926209083104,20000
-adaptW,17,613.3333333333333,4500.132189695625,29.042896210005463,0.5719682825293075,-0.055780472557902916,20000
GA-SA-multiSoH,17,284.0,2734.039770728237,152.32006825221234,0.3960798527792839,-0.17379131883907425,20000
MOEA/D,17,300.6666666666667,2857.780276835832,169.34584254958287,0.3962285978075748,-0.17435123802948696,20000
Full,18,521.0,3600.2946310397924,0.0,0.4925434331302019,0.07346835697067686,20000
-health,18,355.00000000000006,2024.1879192029508,0.0,0.5036327181114424,-0.007684021268079122,20000
hard-only,18,338.6666666666667,2871.7308548563196,63.21653327917405,0.4497846833887764,-0.00856502353128009,20000
-adaptW,18,414.0,3403.397244036836,0.06706892928645614,0.4469364963395266,0.05042293835250174,20000
GA-SA-multiSoH,18,332.6666666666667,2828.15236597739,30.004439819426793,0.5120393914769128,-0.005186602644777572,20000
MOEA/D,18,371.33333333333326,2798.4436668722456,23.355819952788742,0.4894753801723848,-0.0018873050406612135,20000
Full,19,349.99999999999994,2800.479424580926,0.5616450781398187,0.39770354896129834,-0.040934372628449324,20000
-health,19,285.0,2159.277284111846,0.0,0.3417499152558374,-0.039169979300733015,20000
hard-only,19,334.3333333333333,2675.6143740110583,2.8082253906990933,0.35621227009884704,-0.040434204721232714,20000
-adaptW,19,361.6666666666667,2880.535118975568,0.44050594363907347,0.3694258134653936,-0.040323926465429774,20000
GA-SA-multiSoH,19,311.6666666666667,2968.744959652926,0.14316443168269888,0.35700173147930503,-0.02801184947799701,20000
MOEA/D,19,275.3333333333333,2496.8532330267285,2.598985067470534,0.3007861230939881,-0.03912710336459212,20000
Full,20,714.3333333333333,4935.2929385363705,81.3023671364943,0.29202672120361717,-0.22452431518904295,20000
-health,20,315.0,2097.3809683888317,0.0,0.32671022495395396,-0.22698271841683,20000
hard-only,20,310.6666666666667,2953.231714835364,237.9485838492107,0.2990424307088091,-0.22804122331373775,20000
-adaptW,20,371.6666666666667,3592.447896764511,182.20280565735263,0.31101294790599954,-0.2277534661272363,20000
GA-SA-multiSoH,20,287.0,2936.9026019684716,217.36336873415976,0.30771770241775176,-0.2275175448958488,20000
MOEA/D,20,323.0,2899.2589408032018,175.6304868031589,0.31295903647331214,-0.22800092736975425,20000
Full,21,726.0,5017.72260482845,20.62153067106705,0.3326951571564558,-0.056408231869906414,20000
-health,21,335.66666666666663,1964.6881024422735,0.0,0.2985918155598357,-0.08979543840634922,20000
hard-only,21,344.6666666666667,2815.1173686397365,126.7090487552965,0.2948243911371331,-0.09237481561708814,20000
-adaptW,21,542.3333333333333,3891.633209802541,31.759852205206894,0.322252773345894,-0.04967839138243681,20000
GA-SA-multiSoH,21,296.3333333333333,2755.37481281315,118.73785029714375,0.299338707299007,-0.09127773157555341,20000
MOEA/D,21,438.00000000000006,3288.8399827587095,73.75227049189036,0.2793798311404456,-0.09640083933351556,20000
Full,22,525.6666666666666,5052.502429459162,19.637745835089348,0.4571919665599993,-0.06766455548676777,20000
-health,22,360.3333333333333,2282.080975085136,0.0,0.3119196263049966,-0.17081829066104653,20000
hard-only,22,358.3333333333333,2904.197530121748,176.27902685695713,0.294214643028502,-0.16799154974670683,20000
-adaptW,22,653.3333333333333,5176.655425294789,19.63786721247363,0.4451454999036841,-0.06521724208516803,20000
GA-SA-multiSoH,22,312.0,2837.454820479788,84.58286482449797,0.364314460358071,-0.165873030374731,20000
MOEA/D,22,380.00000000000006,3363.08792460488,67.63104060824384,0.33661891055506143,-0.15464805744269375,20000
Full,23,590.3333333333334,4517.450816008393,6.8292354956213845,0.502757155569421,-0.05896852479751258,20000
-health,23,308.00000000000006,2222.944714785815,0.0,0.38759679718613294,-0.13422559838182274,20000
hard-only,23,300.3333333333333,2895.6210774167826,94.97191455394665,0.3817029202139637,-0.13608195856081262,20000
-adaptW,23,643.6666666666666,4890.6296205122735,8.599398697098783,0.49056636976301293,-0.058556861495317504,20000
GA-SA-multiSoH,23,304.66666666666663,3038.8002758082766,74.14285199406581,0.41206811735574256,-0.13591578110926755,20000
MOEA/D,23,306.0,2909.606355323752,50.95372277163772,0.43938772784582714,-0.13649854734316041,20000
Full,24,707.0000000000001,4685.496993497575,19.11043416764734,0.4649446301689939,-0.055433149452550026,20000
-health,24,282.33333333333337,2095.778190040134,0.0,0.38132466380209373,-0.1560693068305407,20000
hard-only,24,270.0,2679.0620052921795,141.6294939281586,0.3746392514876642,-0.15481930783527262,20000
-adaptW,24,320.3333333333333,2851.9794294840026,96.77322200506055,0.38371413542013655,-0.15882358446050496,20000
GA-SA-multiSoH,24,289.66666666666663,2659.280739726598,112.2523081034079,0.3750578053256082,-0.15795062082139844,20000
MOEA/D,24,292.66666666666663,2538.7769651313934,117.7772455610504,0.37056284955846874,-0.15811760133205968,20000
Full,25,643.6666666666666,5022.265194623195,1.712148393174493,0.4780726234540409,-0.009383200490785514,20000
-health,25,368.3333333333333,2153.554032924886,0.0,0.4110963258204805,-0.0811052411618354,20000
hard-only,25,338.0,2762.160235490247,59.59843609008454,0.39407341269700114,-0.0777869893586586,20000
-adaptW,25,548.3333333333334,4476.146038164218,5.367853998928321,0.3461489306335408,-0.017318311029581424,20000
GA-SA-multiSoH,25,298.66666666666663,2860.3214270837793,25.13449486358941,0.3689628517663799,-0.07051516328545174,20000
MOEA/D,25,341.6666666666667,2936.822843789261,30.655400974385554,0.36520624969524884,-0.07628790072444866,20000
Full,26,505.0,4208.584792705722,4.31975008898665,0.3717328825113666,-0.04866301936427534,20000
-health,26,325.33333333333337,2168.8637879388243,0.0,0.23594974833151694,-0.09877055319086422,20000
hard-only,26,378.0,2794.5698889053,65.51037679038014,0.25933149085430984,-0.10201821344289308,20000
-adaptW,26,700.3333333333334,5185.0631421074395,5.694206101577027,0.3484190742089308,-0.09187144377636401,20000
GA-SA-multiSoH,26,306.3333333333333,2522.7876737400743,36.00402377878393,0.3056477447704886,-0.09709900382186978,20000
MOEA/D,26,290.6666666666667,2323.635393477367,48.210239981097814,0.2630780928077552,-0.09704202338536166,20000
Full,27,614.3333333333334,4805.649224256009,10.822633959580802,0.32466594715017383,-0.05095518193702477,20000
-health,27,299.0,2149.14508397011,0.0,0.25468105195741675,-0.0913235586151156,20000
hard-only,27,290.0,2873.359431391777,83.53635255161419,0.24135279868899429,-0.09049364358704341,20000
-adaptW,27,565.6666666666667,4986.871610965577,9.78317058972436,0.26936982146475663,-0.046809738869712084,20000
GA-SA-multiSoH,27,313.0,2948.881434224222,56.206646626507464,0.24012819438149968,-0.09068069917616045,20000
MOEA/D,27,320.00000000000006,2791.145248304604,64.44046465435784,0.24013579671156915,-0.09211936994201723,20000
Full,28,600.6666666666666,4966.810713422113,24.420683794407665,0.4524150483830063,-0.03838392163127857,20000
-health,28,319.3333333333333,2220.631958800163,0.0,0.32958328332392095,-0.13106127867739684,20000
hard-only,28,309.66666666666663,2806.1580544951576,167.90438831538899,0.3462819078732138,-0.13066195146375476,20000
-adaptW,28,379.66666666666663,3027.6661010961193,135.1331688901589,0.37099634453310437,-0.13272242829801278,20000
GA-SA-multiSoH,28,337.6666666666667,3103.682698084433,122.05665213052707,0.3773316582726831,-0.13117911246737898,20000
MOEA/D,28,450.6666666666667,3601.9317836563387,86.02718868267615,0.3468145733303092,-0.11419724515913052,20000
Full,29,615.6666666666667,4037.1298568886004,7.344987277040943,0.36874178447833184,0.026564169493972604,20000
-health,29,283.0,1993.6869742649749,0.0,0.3859039102836803,-0.0249632038654856,20000
hard-only,29,283.0,2510.101806652885,82.22588334776162,0.3859039102836803,-0.0249632038654856,20000
-adaptW,29,429.0,3318.339085754485,5.7959138854460885,0.43819140802428724,0.029780291110862327,20000
GA-SA-multiSoH,29,331.3333333333333,2752.1340264370983,65.51672327725284,0.34968370650709724,-0.027001863705065614,20000
MOEA/D,29,288.3333333333333,2472.2846932280722,52.32027957040375,0.3867678466797173,-0.025536876989226336,20000
Full,30,378.6666666666667,3633.1260265825754,0.0,0.46946382618686244,0.028172781663989066,20000
-health,30,281.6666666666667,1851.353629967009,0.0,0.39114467351794,-0.03930338549768157,20000
hard-only,30,261.66666666666663,2362.0465283935346,27.93167155661033,0.3612495037649879,-0.03938965413369775,20000
-adaptW,30,521.0000000000001,3272.3004259970758,1.8614474892768904,0.4424883383022169,-0.014532267079363536,20000
GA-SA-multiSoH,30,286.33333333333337,2484.9866829813345,12.35492076128672,0.34263771480092586,-0.04106048021510421,20000
MOEA/D,30,277.0,2328.001072652146,15.789090391020137,0.416477615720267,-0.03974631454939136,20000
