seed,algo,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
40,LWC,339.99999999999994,2447.1271343621643,1234.3333333333335,0.0,0.46916997561277896,0.5566672529123292,59,20000,0.838,0.022626727309154604,0.21480281454121597,0.4113925653890591,84.45322258064718,0.9000000000000007
41,AW-NSGA-II,392.0,2554.1821712428714,1193.5,0.0,0.5211847198108746,0.41410921520418936,33,20000,0.869,0.0887265060060521,0.21541747519539234,0.3722280169864074,84.44993065091226,1.0559999999999987
41,NSGA-II-2obj,281.0,2239.9590013213965,1247.6666666666667,0.0,0.13031532634282494,0.6536693821187618,8,20000,0.954,0.0992648302122363,0.22330890432397343,0.3422819049277843,79.29930988040655,0.7800000000000006
41,NSGA-II-3obj,378.3333333333333,2472.3365412305025,1192.1666666666667,0.0,0.43808742694201214,0.6596752875102126,51,20000,0.861,0.09357435305653485,0.25832706321929855,0.3579275737864134,87.83244304680653,1.0299999999999996
41,NSGA-III,326.66666666666663,2473.2199780629,1208.1666666666667,0.0,0.3113567506479439,0.19398822691180143,61,20000,0.93,0.09921231186048049,0.23575082541081516,0.3278225434517592,84.27453404797589,0.8900000000000007
41,MOEA/D,272.33333333333337,2121.6905486690225,1193.4999999999998,0.0,0.7453354224549363,0.6855469328179024,71,20000,3.188,0.09899095121118859,0.20767123965180634,0.3547434937525167,80.91208309560031,0.7460000000000006
41,GA-SA,280.6666666666667,2255.1338291809166,1171.1666666666665,0.0,0.5571916376424716,0.5034324140800743,1,20000,6.759,0.0963548746188321,0.22313014389395824,0.290274927187965,83.93468850514628,0.7520000000000006
41,A*-GA,286.3333333333333,2269.2416662652886,1269.6666666666667,0.0,0.018665357695336907,1.0,2,20000,1.169,0.10208556120238162,0.23753941611519303,0.29109929282943603,81.10770489404669,0.7840000000000006
41,LWC,323.66666666666663,2194.8077529411935,1195.3333333333335,0.0,0.7451131320635218,0.6578055045964113,45,20000,0.829,0.09521821055343392,0.20560540431851682,0.28183251512360297,85.50182538038878,0.8960000000000007
42,AW-NSGA-II,366.3333333333333,2355.4368759662657,1288.3333333333335,0.0,0.4530070109915757,0.42803272498108313,25,20000,0.868,0.09344847686847468,0.23986452126856495,0.28830155103644284,81.57919778017435,0.9940000000000008
42,NSGA-II-2obj,320.0,2135.962546574805,1335.1666666666665,0.0,0.28069411686048973,0.631751975927944,7,20000,0.917,0.0972272925264208,0.2044889566172149,0.3268350534148594,80.83444383327478,0.8700000000000007
42,NSGA-II-3obj,286.3333333333333,2377.991440966204,1270.8333333333333,0.0,0.5172061661070335,0.5457652280369951,55,20000,0.827,0.09520344916952103,0.21239344031628238,0.3104112489351898,81.22833094076259,0.7840000000000006
42,NSGA-III,362.66666666666663,2247.3970364269044,1272.3333333333335,0.0,0.6462069981730874,0.6799190283989917,18,20000,0.878,0.09420442711217537,0.20033032331453182,0.3338201330367656,86.28776095520354,0.9980000000000008
42,MOEA/D,280.0,2057.346128489899,1288.8333333333335,0.0,0.807316382709921,0.8512289007029699,98,20000,3.249,0.09674337655510934,0.19798499021433835,0.35148016353367906,81.30246527122442,0.7760000000000006
42,GA-SA,296.3333333333333,2249.8241053753295,1285.0,0.0,0.2846887486713314,0.2898798955317159,1,20000,6.766,0.09744183939462912,0.20040205262579758,0.3061302653043749,82.14217407860485,0.8140000000000006
42,A*-GA,299.0,2358.7261201188317,1377.8333333333335,0.0,0.02655754251081965,1.0,4,20000,1.204,0.1019216199585802,0.1978636146904188,0.3470857892458845,81.65660277675127,0.8220000000000006
42,LWC,304.33333333333337,2333.6812873404897,1308.5,0.0,0.22488640072032606,0.1626116169854952,45,20000,0.854,0.09573659110792128,0.23386652539862207,0.3675153149054349,82.12274938535,0.8300000000000006
43,AW-NSGA-II,288.0,2285.1043729494413,1185.3333333333333,0.0,0.6466520357079519,0.5175374062473515,24,20000,0.861,0.08641029685020143,0.22531281236060763,0.40379962935128844,84.12466549117116,0.7740000000000006
43,NSGA-II-2obj,278.33333333333337,2138.702992285669,1245.8333333333333,0.0,0.26047460879586243,0.6220145038015218,4,20000,0.896,0.08986817816407175,0.21506467861674705,0.4607771627547521,80.92628464103555,0.7600000000000006
43,NSGA-II-3obj,273.0,2274.3899542886693,1247.8333333333335,0.0,0.39943342956136074,0.7574419797000933,44,20000,0.885,0.09093880706043092,0.22332609906470924,0.4097459257078766,83.2161877598675,0.7440000000000005
43,NSGA-III,277.6666666666667,2314.7083731651674,1191.8333333333337,0.0,0.5724691443048471,0.41314114361778864,10,20000,0.902,0.08795878370161447,0.2282190973975331,0.43627612317255426,83.56163609893322,0.7580000000000006
43,MOEA/D,251.66666666666669,2146.041520082282,1204.333333333333,0.0,0.848126587219446,0.766147381748924,99,20000,3.286,0.09012727588523055,0.2264155328201528,0.408833778345854,81.75218208660976,0.6840000000000005
43,GA-SA,277.33333333333337,2233.1495689371445,1198.1666666666667,0.0,0.32557890804144085,0.21329899038617123,1,20000,6.819,0.089092690323774,0.22174230308702503,0.4819340936332197,84.14797831620098,0.7440000000000005
43,A*-GA,276.33333333333337,2301.982920167115,1273.6666666666667,0.0,0.020116166284965556,1.0,1,20000,1.208,0.09431100098249409,0.2287467292338934,0.4410761716089284,81.80382905679555,0.7540000000000006
43,LWC,275.0,2233.3134903439977,1216.5,0.0,0.44923009421607696,0.287672788611717,30,20000,0.869,0.09059141266641893,0.21456856662972235,0.3959388584876973,84.13955316030001,0.7500000000000006
44,AW-NSGA-II,303.0,2290.0592723806,1366.8333333333333,0.0,0.5284810356504215,0.4866135548991474,40,20000,0.878,0.12685526527900454,0.22976206498330332,0.302607186000704,80.87885399209006,0.8340000000000006
44,NSGA-II-2obj,302.3333333333333,2409.2787410778988,1370.5,0.0,0.27219980129298205,0.28619728309675607,6,20000,0.98,0.12748440633461372,0.22880627918371543,0.2916425478848659,81.29818953969935,0.8320000000000006
44,NSGA-II-3obj,289.0,2538.410716746624,1366.6666666666667,0.0,0.4536516571534407,0.5780827294321406,30,20000,0.866,0.128381496003725,0.2317369967502979,0.3329599583501759,81.25592040997597,0.7960000000000006
44,NSGA-III,376.6666666666667,2694.262434652415,1326.3333333333333,0.0,0.2990906707496787,0.2306745186883539,44,20000,0.916,0.1203833368980746,0.2503470897425635,0.32513812836325195,82.96855691665796,1.0100000000000005
44,MOEA/D,277.6666666666667,2143.4402679445475,1311.8333333333335,0.0,0.92137477820209,0.8963695502085928,75,20000,3.269,0.12715199162448867,0.2210915846940873,0.26715741926600733,85.05332970101787,0.7580000000000006
44,GA-SA,288.0,2339.435882966668,1295.8333333333333,0.0,0.5517723370646187,0.5517723370646187,1,20000,6.811,0.12612787544974802,0.22213799635013698,0.32881889614971804,83.19894425003127,0.7740000000000006
44,A*-GA,303.6666666666667,2394.7356060686498,1403.8333333333333,0.0,0.08334691417384604,1.0,10,20000,1.264,0.12821175107878155,0.23539898757603273,0.3066794339253447,84.35923486372656,0.8420000000000006
44,LWC,364.33333333333337,2586.901494380897,1304.6666666666667,0.0,0.5320982603975934,0.4876655539632801,43,20000,0.828,0.1252711498546784,0.23791837054083664,0.2631894457773054,87.91736618516762,0.9880000000000008
45,AW-NSGA-II,338.0,2443.7941635958127,1294.5000000000002,0.0,0.8337835280891658,0.724944587267626,13,20000,0.855,0.12699068012302744,0.24459252740605553,0.29737558816724197,86.3734570866857,0.9240000000000007
45,NSGA-II-2obj,330.6666666666667,2278.5679382580533,1388.8333333333333,0.0,0.15769790508108583,0.6681953157850605,11,20000,0.928,0.13107217062279297,0.23794467856142054,0.21179234648824052,80.0931861983448,0.9020000000000007
45,NSGA-II-3obj,311.0,2238.3563126104254,1308.0000000000002,0.0,0.7870775405863174,0.3853863597904339,41,20000,0.911,0.12961257291929157,0.21817919148816434,0.2164403909167687,82.5414702327384,0.8580000000000007
45,NSGA-III,311.33333333333337,2357.475567412323,1353.0,0.0,0.3816737949834725,0.2569551268230383,54,20000,0.888,0.13069229302496138,0.2172665504632192,0.22829437200067693,83.31152869226361,0.8740000000000007
45,MOEA/D,296.33333333333337,2213.570590627728,1308.5,0.0,0.737185674799977,0.6527103882730394,90,20000,3.274,0.12872949260662803,0.23812814715326736,0.2337274990604885,81.76164127559841,0.8140000000000006
45,GA-SA,334.6666666666667,2474.7226598323887,1280.1666666666665,0.0,0.17645854632983227,0.15894055881219596,1,20000,6.922,0.125031214085855,0.21401682522663834,0.2380355066493829,84.90456489045502,0.9140000000000007
45,A*-GA,300.3333333333333,2321.228034363278,1371.8333333333335,0.0,0.13966197210655354,1.0,3,20000,1.144,0.13236803505896044,0.2127496571142723,0.24596903515653512,83.80159485935171,0.8260000000000006
45,LWC,326.33333333333326,2280.3997242917894,1289.0000000000002,0.0,0.7141682550285778,0.6559401742642852,17,20000,0.862,0.12982802862408693,0.21176896997021,0.23146398260659695,82.75028740285106,0.8740000000000007
46,AW-NSGA-II,297.0,2369.502551208099,1293.8333333333335,0.0,0.352708905876683,0.2796611864255997,48,20000,0.874,0.06944730468757285,0.18576612306144358,0.3479175406636761,81.3942142576721,0.8160000000000006
46,NSGA-II-2obj,285.6666666666667,2348.2772618302547,1303.0,0.0,0.24953783463369908,0.5535001366583296,8,20000,0.945,0.07008662819510092,0.19351956459406483,0.3279064060506638,80.63566816474074,0.7820000000000006
46,NSGA-II-3obj,298.0,2401.0370507492603,1275.3333333333333,0.0,0.4066873571127432,0.7348923689013872,37,20000,0.822,0.07066676180466709,0.1854439703094698,0.31843686779761393,81.89074989081736,0.8320000000000006
46,NSGA-III,364.66666666666663,2422.702113055586,1273.1666666666667,0.0,0.40171200166709575,0.3782689734623583,20,20000,0.869,0.06754832487725511,0.22175870412126208,0.36390764042222434,82.78129695061497,1.0040000000000007
46,MOEA/D,278.33333333333337,2207.0305712599593,1265.8333333333335,0.0,0.8184487832934778,0.9655645424964032,98,20000,3.237,0.07027240721049646,0.1811323976609336,0.3661791390855269,81.20109070738272,0.7600000000000006
46,GA-SA,278.6666666666667,2307.266306241412,1261.8333333333335,0.0,0.5446979143909441,0.5658093776194625,1,20000,7.169,0.0693519859174809,0.18757034718141108,0.3723202854784229,82.34057194586771,0.7500000000000006
46,A*-GA,293.0,2138.838372031511,1329.1666666666667,0.0,0.1499427107701831,1.0,1,20000,1.194,0.07257539116344133,0.19866095637867154,0.3714014697043513,82.8431674604401,0.8040000000000006
46,LWC,345.6666666666667,2453.5993724611308,1286.6666666666667,0.0,0.303105738044406,0.22119210330004418,32,20000,0.84,0.07003950829013453,0.23213308041066305,0.4139063888062766,83.75331746767905,0.9620000000000007
47,AW-NSGA-II,309.6666666666667,2278.9359560259186,1407.6666666666667,0.0,0.5377020838373127,0.5154433697158928,11,20000,0.891,0.1220437085176748,0.2057456198758889,0.31738417052295076,82.98071773264296,0.8540000000000006
47,NSGA-II-2obj,305.6666666666667,2277.0657218594397,1378.8333333333333,0.0,0.47184703357743135,0.4687459426947756,6,20000,0.934,0.12119824061515283,0.22456155634734243,0.2606284675132202,84.28704288528775,0.8420000000000006
47,NSGA-II-3obj,335.3333333333333,2348.221899292115,1361.0,0.0,0.553024072048125,0.2396861305476464,21,20000,0.818,0.12229295435242152,0.2236352761855317,0.3212942245662769,85.20289219537864,0.9160000000000007
47,NSGA-III,314.0,2356.396514163848,1378.1666666666667,0.0,0.43504041405512517,0.4100412737425916,17,20000,0.898,0.12282387483769401,0.20933484352135212,0.2937690839575655,82.9024007236292,0.8520000000000006
47,MOEA/D,297.0,2137.11319500779,1364.8333333333335,0.0,0.8413728101373431,0.8205743331886188,98,20000,3.314,0.12108829094816342,0.22113739363928853,0.27200155016802907,84.96645550091492,0.8160000000000006
47,GA-SA,316.6666666666667,2333.590313101214,1347.8333333333335,0.0,0.46757260059284333,0.46757260059284333,1,20000,6.868,0.12227071468824557,0.20319715479905986,0.296282819659192,83.73116512175505,0.8600000000000007
47,A*-GA,310.33333333333337,2317.5559669457552,1444.1666666666667,0.0,0.15066059154445433,1.0,3,20000,1.194,0.12504698627289657,0.23174612726699073,0.3071156161888766,82.29495958131317,0.8560000000000006
47,LWC,396.6666666666667,2657.262210119333,1368.6666666666667,0.0,0.417220157231847,0.3868317620677121,20,20000,0.959,0.11341281469506645,0.2269904947076009,0.3736751571967476,85.5224808350591,1.0699999999999983
48,AW-NSGA-II,311.6666666666667,2493.1993079607605,1355.0,0.0,0.5454175831375988,0.4963369142111044,47,20000,0.871,0.05815417832328666,0.17513401092045644,0.4353541165249817,82.86794379461546,0.8600000000000007
