algo,metric,mean,std,ci95_lo,ci95_hi
MOEA/D,hv,0.7344603334335299,0.10724239484891004,0.6944153650763116,0.7745053017907482
MOEA/D,hv_sub,0.6797630857661264,0.1429072979670946,0.626400623717695,0.7331255478145579
MOEA/D,delta_h_mean,0.08300716718559922,0.028614907590637645,0.07232218508848919,0.09369214928270926
MOEA/D,gini_delta_h,0.3829428494801705,0.06969705947765466,0.35691753975721996,0.408968159203121
GA-SA,f1,296.96666666666675,22.36639344095412,288.61491809866834,305.31841523466517
GA-SA,f2,2391.7700716604986,128.92885143920913,2343.6272473279246,2439.9128959930727
GA-SA,f3,1292.7666666666664,71.03887824439668,1266.2403135817972,1319.2930197515357
GA-SA,f4,0.0,0.0,0.0,0.0
GA-SA,hv,0.4919751014765325,0.18762759262834441,0.42191380696395986,0.5620363959891052
GA-SA,hv_sub,0.4495292323003428,0.22792596577595067,0.3644202779530861,0.5346381866475994
GA-SA,delta_h_mean,0.08153624136077763,0.0281235282341759,0.07103474333084665,0.0920377393907086
GA-SA,gini_delta_h,0.3664367872466293,0.06017407515339329,0.3439674183106092,0.38890615618264945
A*-GA,f1,298.58888888888885,12.13767868801892,294.0566051807846,303.1211725969931
A*-GA,f2,2364.547973660539,134.54556021960076,2314.3078358009834,2414.7881115200944
A*-GA,f3,1382.2222222222222,74.58692546840996,1354.371006530399,1410.0734379140454
A*-GA,f4,0.0,0.0,0.0,0.0
A*-GA,hv,0.15064441796319777,0.10053369519268325,0.11310451922728154,0.188184316699114
A*-GA,hv_sub,1.0,0.0,1.0,1.0
A*-GA,delta_h_mean,0.08592963643103904,0.028750362110956412,0.07519407478479036,0.09666519807728773
A*-GA,gini_delta_h,0.3864746634120514,0.060503822281863885,0.36388216487468195,0.40906716194942083
LWC,f1,333.93333333333334,38.826897498366506,319.43513153616556,348.4315351305011
LWC,f2,2463.2698966986,157.48614265881167,2404.4636045754382,2522.0761888217617
LWC,f3,1317.7722222222221,71.42786307348088,1291.1006198150671,1344.443824629377
LWC,f4,0.0,0.0,0.0,0.0
LWC,hv,0.5205626343158641,0.1434282793918369,0.4670056346062969,0.5741196340254313
LWC,hv_sub,0.44845266828146246,0.15328454857830962,0.39121527717212656,0.5056900593907984
LWC,delta_h_mean,0.08136232918894969,0.028419104806601335,0.07075046105299312,0.09197419732490625
LWC,gini_delta_h,0.3887743371653864,0.069845038964787,0.3626937709938263,0.41485490333694647
