config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
D13,nohealth,27,346.6666666666667,2978.4364600399094,0.46,0.37842490856792455,-0.39042319486827537,0.06484063453384525,0.8315019185890052
D13,full,28,680.6666666666667,5457.7716241664575,0.12,0.5006600725549111,-0.2132913818592356,0.14784027856620463,0.34964960671307627
D13,hard,28,587.6666666666666,5487.594254792041,0.0,0.6547936395755498,0.0,0.15906895081334727,0.34964960671307627
D13,nohealth,28,296.3333333333333,2873.562708266794,0.46,0.39178398471937226,-0.3999612367529346,0.12644323724999185,0.838205919616642
D13,full,29,670.0000000000001,5190.951618241302,0.2,0.565056988550882,-0.17865981705995096,0.17887981175953427,0.3368144063294138
D13,hard,29,537.0000000000001,5311.545925050249,0.0,0.7275643149075455,0.0,0.1796948426668532,0.3368144063294138
D13,nohealth,29,346.0,2815.175182342612,0.52,0.4407871291830454,-0.39330574538379415,0.1542999838416893,0.8306544349348902
D13,full,30,600.6666666666667,4533.8432101281915,0.18,0.4918141310880493,-0.17167701120983045,0.17278882625321335,0.34748439816501486
D13,hard,30,520.3333333333333,5170.633542639314,0.0,0.7032018056454028,0.0,0.17397850163359396,0.34748439816501486
D13,nohealth,30,370.0,2568.1025633355844,0.56,0.370209825076699,-0.3768823634676918,0.13944072331562862,0.8231152507337826
D14,full,1,335.00000000000006,3141.0771933578453,0.48,0.4584107884511808,-0.3043654699118128,0.13847179204358628,0.7480727189399056
D14,hard,1,565.3333333333334,5773.666716477826,0.0,0.6482908574167139,0.0,0.1851639273121647,0.35233843751553295
D14,nohealth,1,300.33333333333337,3141.951903000504,0.5,0.4697515988296448,-0.3071013437222592,0.14897087215064586,0.7529168689146734
D14,full,2,315.6666666666667,2898.8184113033094,0.5,0.3344193255917589,-0.36865948075278043,0.18234966290528543,0.7540109025629597
D14,hard,2,554.6666666666666,5426.585369179175,0.0,0.6356446670708009,0.0,0.22522038436620373,0.31682425077358367
D14,nohealth,2,277.66666666666663,2826.372491766084,0.52,0.3482349935124478,-0.3547984072316066,0.15193599764059862,0.7521116578790752
D14,full,3,573.3333333333333,4556.09484220232,0.18,0.3977525216687978,-0.15546977535457834,0.2242580928853114,0.3213078229153842
D14,hard,3,543.3333333333334,5104.9348069349935,0.0,0.6022938940001943,0.0,0.24802988814140026,0.3213078229153842
D14,nohealth,3,310.0,2647.9230144321837,0.44,0.31196048241081153,-0.3570635837086086,0.22497650556837867,0.7567782631422028
D14,full,4,586.3333333333334,4876.274151120469,0.24,0.3740787599605493,-0.2609763686425577,0.2526596920690676,0.36807036336773774
D14,hard,4,598.0,5809.10088519726,0.0,0.5874264812162024,0.0,0.2572006699202395,0.32987043548338324
D14,nohealth,4,372.00000000000006,2877.599632954222,0.46,0.3108763695272676,-0.35272829001600386,0.21826624399682326,0.7610840919038119
D14,full,5,561.0,4391.471267939585,0.22,0.5049519535098608,-0.07089500545096376,0.2512188228777299,0.3278889415819196
D14,hard,5,643.6666666666667,5855.63321703626,0.0,0.6611378160252646,0.0,0.2855450834201487,0.3278889415819196
D14,nohealth,5,410.0,3291.2260769031805,0.48,0.35494670016219687,-0.2908897597970965,0.19625143014332647,0.7172456044760979
D14,full,6,332.3333333333333,3142.0106940239825,0.48,0.4986525161185953,-0.3346520634676682,0.06773626433186974,0.7569454722634097
D14,hard,6,643.3333333333334,5714.617376655182,0.0,0.6882923333666116,0.0,0.14013828966833808,0.32863531176746946
D14,nohealth,6,387.33333333333337,2936.6610403023833,0.48,0.47409888914592035,-0.33309366343659563,0.08443905542553609,0.74064952679157
D14,full,7,622.6666666666667,5062.439979657518,0.14,0.29834421792220667,-0.22776497216115335,0.28914878466618277,0.3601785217252042
D14,hard,7,542.6666666666666,5348.768993104783,0.0,0.5243549478603626,0.0,0.29385321664659825,0.30940883840000394
