config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
W2,hard,23,588.0,5798.295083783453,0.0,0.7488491209872843,0.0,0.218036646696519,0.34825945167242234
W2,nohealth,23,300.0,3123.147442173091,0.52,0.32499332389348456,-0.30950085383171166,0.18501470847883728,0.7319617094671967
W2,full,24,418.00000000000006,3607.533840235915,0.5,0.5067344107628564,-0.27153678207425364,0.03752300849225465,0.3114411477067004
W2,hard,24,747.3333333333333,6870.744358611576,0.0,0.7576257329836664,0.0,0.07421283523393374,0.3114411477067004
W2,nohealth,24,330.66666666666663,2946.2589235420637,0.58,0.39748778241142935,-0.34004395288207356,0.012319544361738988,0.7523189286288066
W2,full,25,542.3333333333334,4215.240533384095,0.28,0.4625453336845067,-0.12123637615923225,0.2362004014197644,0.33933236306137127
W2,hard,25,558.3333333333334,5392.056940633772,0.0,0.7271659518271463,0.0,0.26869246274431013,0.33933236306137127
W2,nohealth,25,419.66666666666674,3071.9634112206636,0.42,0.276698160140477,-0.31196759364277243,0.22306766955263113,0.7610407925082037
W2,full,26,489.66666666666663,4000.7391893772055,0.12,0.49360161321083096,-0.17435204863954032,0.26950575373901176,0.31756870651411206
W2,hard,26,494.0,4181.800756656788,0.0,0.6247122011770079,0.0,0.25571043392534354,0.31756870651411206
W2,nohealth,26,325.33333333333337,2819.29836113958,0.42,0.36566434074890863,-0.38922733196773995,0.1978466764326785,0.7426526377045548
W2,full,27,561.6666666666666,4546.866612301496,0.0,0.4603390976978339,0.0,0.20392623929939202,0.34685187903458786
W2,hard,27,424.6666666666667,3820.1266716396062,0.0,0.47390310936551683,0.0,0.23347727500304605,0.34685187903458786
W2,nohealth,27,353.66666666666674,3083.9761817151657,0.26,0.3773787593127824,-0.40844291317030706,0.19637784872231423,0.7742719695225977
W2,full,28,505.6666666666667,4392.134323146904,0.18,0.5157199091465734,-0.11434633389431856,0.11909084408169457,0.35235442692026164
W2,hard,28,489.0000000000001,5027.377920214177,0.0,0.695510441940641,0.0,0.1332969481115539,0.35235442692026164
W2,nohealth,28,387.0,2953.6378706361825,0.4,0.4058346549913503,-0.2817481814647267,0.0978797435088754,0.7355612819167011
W2,full,29,577.6666666666667,4168.095063471828,0.14,0.26487458324996505,-0.16683041045669017,0.19500759760805064,0.3289583632499094
W2,hard,29,515.0,4361.845994078242,0.0,0.4976008915600698,0.0,0.2128764473170599,0.3289583632499094
W2,nohealth,29,283.0,2540.576486778587,0.42,0.3278609174786795,-0.2593976796315606,0.16087786921274427,0.7512082440137461
W2,full,30,336.3333333333333,2676.1902549548863,0.08,0.5089820871502972,-0.15477528560509946,0.23991385762728656,0.39508143289360464
W2,hard,30,370.0,2863.0941555978798,0.0,0.5406400967930243,0.0,0.20855910534349864,0.39508143289360464
W2,nohealth,30,281.6666666666667,2378.464739469935,0.22,0.4620557656648534,-0.3377196156793024,0.19370345725910143,0.7836925531275661
W3,full,1,350.6666666666667,3231.142681930565,0.52,0.22885517665230393,-0.26049642343416773,0.1897481857159964,0.656478853263792
