config,arm,metric,mean,std,n
D03,nohealth,h_end_min_lowgrp,0.7976108580205995,0.009862407216108067,30
D04,full,f1,561.9777777777778,134.29175459131244,30
D04,full,f2_full,4437.5168219082025,894.5983530904724,30
D04,full,share_low,0.196,0.2029030684154722,30
D04,full,gini_delta_h,0.46662160003452274,0.09704397755764277,30
D04,full,delta_h_low_mean,-0.18447399570190767,0.11625983501044027,30
D04,full,delta_h_max,0.10815757860671339,0.05079571458069052,30
D04,full,h_end_min_lowgrp,0.4228966646041889,0.15942360363418498,30
D04,hard,f1,578.4666666666667,219.97158646192173,30
D04,hard,f2_full,5546.633316987951,2718.057406752144,30
D04,hard,share_low,0.0,0.0,30
D04,hard,gini_delta_h,0.6130271578362022,0.11062294666012365,30
D04,hard,delta_h_low_mean,0.0,0.0,30
D04,hard,delta_h_max,0.11412648744514615,0.04825676489906681,30
D04,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D04,nohealth,f1,338.6555555555555,39.17320643209,30
D04,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D04,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D04,nohealth,gini_delta_h,0.3885885593299928,0.08775327390402583,30
D04,nohealth,delta_h_low_mean,-0.39380965425400855,0.03971243892283428,30
D04,nohealth,delta_h_max,0.08914693694228891,0.05281543124816867,30
D04,nohealth,h_end_min_lowgrp,0.830729040994783,0.006213408628444503,30
D05,full,f1,561.9777777777778,134.29175459131244,30
D05,full,f2_full,4437.5168219082025,894.5983530904724,30
D05,full,share_low,0.196,0.2029030684154722,30
D05,full,gini_delta_h,0.44737502008909963,0.08923626877968734,30
D05,full,delta_h_low_mean,-0.22455208222061787,0.14386712350923594,30
D05,full,delta_h_max,0.008461472742419714,0.024362726581389608,30
D05,full,h_end_min_lowgrp,0.4347380468728265,0.1905777277926051,30
D05,hard,f1,578.4666666666667,219.97158646192173,30
D05,hard,f2_full,5546.633316987951,2718.057406752144,30
D05,hard,share_low,0.0,0.0,30
D05,hard,gini_delta_h,0.6327825092835359,0.11251114037213321,30
D05,hard,delta_h_low_mean,0.0,0.0,30
D05,hard,delta_h_max,0.011643091676170248,0.017004743608148763,30
D05,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D05,nohealth,f1,338.6555555555555,39.17320643209,30
D05,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D05,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D05,nohealth,gini_delta_h,0.3544488648797766,0.08775399046378819,30
D05,nohealth,delta_h_low_mean,-0.4997897046998619,0.03986873409603723,30
D05,nohealth,delta_h_max,-0.016689021278852176,0.054223210548160344,30
D05,nohealth,h_end_min_lowgrp,0.9387048850705786,0.011034403504759625,30
D06,full,f1,561.9777777777778,134.29175459131244,30
D06,full,f2_full,4437.5168219082025,894.5983530904724,30
D06,full,share_low,0.196,0.2029030684154722,30
D06,full,gini_delta_h,0.4720744265150142,0.09951309082074415,30
D06,full,delta_h_low_mean,-0.19393657639117481,0.11796668679003962,30
D06,full,delta_h_max,0.11694608571539883,0.05426833013791497,30
D06,full,h_end_min_lowgrp,0.42343165816411454,0.16016528008621453,30
D06,hard,f1,578.4666666666667,219.97158646192173,30
D06,hard,f2_full,5546.633316987951,2718.057406752144,30
D06,hard,share_low,0.0,0.0,30
D06,hard,gini_delta_h,0.6119562019975145,0.1179887079259135,30
D06,hard,delta_h_low_mean,0.0,0.0,30
D06,hard,delta_h_max,0.12662121374260413,0.04931363333205154,30
D06,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D06,nohealth,f1,338.6555555555555,39.17320643209,30
D06,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D06,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D06,nohealth,gini_delta_h,0.38733012408026884,0.08766827141823699,30
D06,nohealth,delta_h_low_mean,-0.39420769629898733,0.04024895174282675,30
D06,nohealth,delta_h_max,0.09129557577702754,0.05285975159085184,30
D06,nohealth,h_end_min_lowgrp,0.8241227346191738,0.011299196282098758,30
D07,full,f1,561.9777777777778,134.29175459131244,30
D07,full,f2_full,4437.5168219082025,894.5983530904724,30
D07,full,share_low,0.196,0.2029030684154722,30
D07,full,gini_delta_h,0.3926485087953086,0.11277569037938596,30
D07,full,delta_h_low_mean,-0.1297759258573855,0.08008529858405375,30
D07,full,delta_h_max,0.340739888885797,0.06112067532155867,30
D07,full,h_end_min_lowgrp,0.40168302527053223,0.10826658456746428,30
D07,hard,f1,578.4666666666667,219.97158646192173,30
D07,hard,f2_full,5546.633316987951,2718.057406752144,30
D07,hard,share_low,0.0,0.0,30
D07,hard,gini_delta_h,0.575472052336758,0.11835529466561485,30
D07,hard,delta_h_low_mean,0.0,0.0,30
D07,hard,delta_h_max,0.3598215465066263,0.050847515998764074,30
D07,hard,h_end_min_lowgrp,0.35468482976945054,0.03965241204942542,30
D07,nohealth,f1,338.6555555555555,39.17320643209,30
D07,nohealth,f2_full,2884.7221398820743,224.0415132219861,30
D07,nohealth,share_low,0.44200000000000006,0.16063237102368147,30
D07,nohealth,gini_delta_h,0.295408471281632,0.06734898662096576,30
D07,nohealth,delta_h_low_mean,-0.20588356221808096,0.04435758537678475,30
D07,nohealth,delta_h_max,0.29067445485932913,0.06003361783983061,30
D07,nohealth,h_end_min_lowgrp,0.6140500664865753,0.026435773569839706,30
D08,full,f1,561.9777777777778,134.29175459131244,30
D08,full,f2_full,4437.5168219082025,894.5983530904724,30
