config,metric,mean,std,ci95_lo,ci95_hi,pct_change_vs_base
alpha_lo,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
alpha_lo,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
alpha_mid,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
alpha_mid,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
alpha_mid,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
alpha_mid,f4,0.0,0.0,0.0,0.0,nan
alpha_mid,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
alpha_mid,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
alpha_mid,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
beta_lo,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
beta_lo,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
beta_lo,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
beta_lo,f4,0.0,0.0,0.0,0.0,nan
beta_lo,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
beta_lo,delta_h_mean,0.0653978719342216,0.022239287987699988,0.05709358532248372,0.07370215854595948,-26.77
beta_lo,delta_h_max,0.1861619398674134,0.027992792559499016,0.17570925934069997,0.1966146203941268,-13.67
beta_hi,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
beta_hi,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
beta_hi,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
beta_hi,f4,0.0,0.0,0.0,0.0,nan
beta_hi,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
beta_hi,delta_h_mean,0.11197495386484274,0.024965005621042282,0.10265286756174509,0.12129704016794039,25.38
beta_hi,delta_h_max,0.23764336270759748,0.02648636311816588,0.22775319217887094,0.24753353323632402,10.21
ahp_lo,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
ahp_lo,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
ahp_lo,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
ahp_lo,f4,0.0,0.0,0.0,0.0,nan
ahp_lo,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
ahp_lo,delta_h_mean,0.24097950315482966,0.024716631269404894,0.2317501613588467,0.2502088449508126,169.84
ahp_lo,delta_h_max,0.366154437439227,0.025974591284356613,0.35645536565386476,0.3758535092245892,69.8
ahp_hi,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
ahp_hi,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
ahp_hi,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
ahp_hi,f4,0.0,0.0,0.0,0.0,nan
ahp_hi,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
ahp_hi,delta_h_mean,-0.06236774360881501,0.02365314612564108,-0.07119997352576547,-0.05353551369186455,-169.84
ahp_hi,delta_h_max,0.06543315966893357,0.02932130539124919,0.05448440429808275,0.07638191503978438,-69.66
flc_lo,f1,330.5888888888889,36.06854727004037,317.12067199430624,344.05710578347157,1.16
flc_lo,f2,2394.8561137104666,185.56712243958987,2325.564211410982,2464.1480160099513,-2.21
flc_lo,f3,1326.1833333333332,63.55563451151219,1302.4512693811796,1349.9153972854867,0.41
flc_lo,f4,0.0,0.0,0.0,0.0,nan
flc_lo,hv,0.6381399417311567,0.11575037021405281,0.5949180431612074,0.681361840301106,1.73
flc_lo,delta_h_mean,0.08909954673624426,0.024334924865172677,0.0800127364540415,0.09818635701844702,-0.23
flc_lo,delta_h_max,0.218882862473471,0.020676948298571796,0.21116196308935434,0.22660376185758765,1.51
flc_hi,f1,320.86666666666673,35.58311192695392,307.5797143081918,334.15361902514167,-1.82
