config,seed,f1,f2,f3,f4,hv,delta_h_mean,delta_h_max,wall_s
beta_hi,4,295.66666666666663,2654.8724703192206,1331.1666666666665,0.0,0.6550730562659335,0.15506346473148383,0.2559370898248974,0.762
beta_hi,5,317.0,2522.315715595359,1413.5000000000002,0.0,0.5942450928697675,0.13626568516082027,0.2591303831696835,0.765
beta_hi,6,347.3333333333333,2377.222465361468,1347.0,0.0,0.6154382069267241,0.10628076011318573,0.24978918784319326,0.774
beta_hi,7,302.3333333333333,2334.6928498747798,1336.3333333333333,0.0,0.6384119449443323,0.13444708171300004,0.2643891885267561,0.799
beta_hi,8,342.0,2875.5171978989983,1390.5,0.0,0.6448728200534524,0.0799118603932141,0.19268309070064782,0.779
beta_hi,9,313.3333333333333,2508.243806401605,1334.0,0.0,0.5425872711802936,0.11308565010299346,0.22164517053930233,0.775
beta_hi,10,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.42309324937144327,0.13441439846778405,0.2405081248151314,0.787
beta_hi,11,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.6103717183965888,0.11178168471891954,0.2215372821030822,0.776
beta_hi,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.07124500117749663,0.21618039822324875,0.747
beta_hi,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.0969155799731601,0.2015967778360911,0.756
beta_hi,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.11264485930886392,0.24761843060806155,0.785
beta_hi,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.13860697888197143,0.2500132042209533,0.762
beta_hi,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.11694711351783087,0.2723538905170293,0.761
beta_hi,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.07014763914737707,0.2857510338390463,0.774
beta_hi,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.1558488471132578,0.23305777494556568,0.79
beta_hi,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.13514606733403264,0.24750371494252077,0.77
beta_hi,20,291.0,2527.4211112197295,1329.8333333333335,0.0,0.7880354696970454,0.05600129428303614,0.19876607994957107,0.748
beta_hi,21,280.33333333333337,2442.9606687617593,1333.5,0.0,0.5758643264524133,0.11848886587638321,0.2582227565801771,0.78
beta_hi,22,282.33333333333337,2391.9216714743256,1297.5,0.0,0.6559067807592441,0.08895839185993373,0.2412740310070891,0.783
beta_hi,23,358.6666666666667,2596.9053754093347,1418.1666666666665,0.0,0.6913165877244544,0.10270321341003563,0.19625408337483108,0.743
beta_hi,24,307.0,2138.8276924122033,1292.5,0.0,0.47115165439759565,0.08664154282127737,0.22813722262035974,0.773
beta_hi,25,370.33333333333337,2649.601496093002,1257.5,0.0,0.7778071997978915,0.11637680369738597,0.21344527593630047,0.774
beta_hi,26,321.0,2122.021265613307,1248.8333333333335,0.0,0.6114117333614711,0.1065952843351071,0.23085040356986397,0.763
beta_hi,27,293.33333333333337,2584.2842696344687,1369.8333333333335,0.0,0.516929394281556,0.11730331119357047,0.21898248964430322,0.758
beta_hi,28,407.0,2560.8556937720914,1382.666666666667,0.0,0.7986418240570392,0.10355560917438691,0.2800174568459879,0.783
beta_hi,29,364.6666666666667,2230.434121280173,1346.1666666666667,0.0,0.5949656116233982,0.14148016373873115,0.257180509972212,0.775
beta_hi,30,350.00000000000006,2256.0800535053118,1225.1666666666667,0.0,0.7141052701394709,0.1323783285659575,0.22267780746114885,0.743
ahp_lo,1,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.7547652078800399,0.2150424195382382,0.3175030639896578,0.775
ahp_lo,2,304.0,2515.4526918122924,1282.6666666666667,0.0,0.39685798781435444,0.23579560135701882,0.38580688040329514,0.778
ahp_lo,3,299.3333333333333,2246.331450819547,1348.8333333333333,0.0,0.5857491138925253,0.2547123722224388,0.397424467259047,0.752
ahp_lo,4,295.66666666666663,2654.8724703192206,1331.1666666666665,0.0,0.6550730562659335,0.2864376289897687,0.38697622342648275,0.744
ahp_lo,5,317.0,2522.315715595359,1413.5000000000002,0.0,0.5942450928697675,0.2641174052956908,0.38474869408439105,0.773
ahp_lo,6,347.3333333333333,2377.222465361468,1347.0,0.0,0.6154382069267241,0.23516422336199594,0.37239223695018797,0.773
ahp_lo,7,302.3333333333333,2334.6928498747798,1336.3333333333333,0.0,0.6384119449443323,0.26130203239546307,0.3924376630119968,0.754
ahp_lo,8,342.0,2875.5171978989983,1390.5,0.0,0.6448728200534524,0.20790437791598712,0.3268947529552805,0.76
ahp_lo,9,313.3333333333333,2508.243806401605,1334.0,0.0,0.5425872711802936,0.2414027011991129,0.3470771489876633,0.797
ahp_lo,10,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.42309324937144327,0.25956011371802007,0.3650145815028656,0.757
ahp_lo,11,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.6103717183965888,0.23916243383242025,0.34800759267522685,0.757
ahp_lo,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.19993238427472346,0.34632053183983924,0.774
ahp_lo,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.22383005456393695,0.32550035666557287,0.775
ahp_lo,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.24022367765105762,0.37757403527444144,0.74
ahp_lo,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.26539958170736117,0.3840601578409224,0.754
ahp_lo,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.24740603321059548,0.39125859976312405,0.8
ahp_lo,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.20429453149949667,0.4131222767660644,0.748
ahp_lo,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.2869007417436055,0.36373542732996156,0.752
ahp_lo,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.2637360815292221,0.3791756833662965,0.782
