seed,variant,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
7,-health,339.6666666666667,1931.4368748485151,1314.5000000000002,0.0,0.8725041353484427,0.6286162838256293,41,20000,0.8317984999994223,0.1089990490006987,0.27875539857904685,0.4340079039558029,85.5122426509961,0.9140000000000007
7,-adaptW,341.66666666666663,2183.164504350517,1327.3333333333335,0.0,0.32030883269819965,0.6771535074018056,39,20000,0.822448599999916,0.1056282999044533,0.2206194626865764,0.388547553967703,87.77199463417332,0.9200000000000007
7,-impAstar,350.0,2292.0694770947803,1356.4999999999998,0.0,0.06854906066571989,0.1449171303453483,32,20000,0.8422668000021076,0.11043118140717198,0.2484236733839721,0.40252542764208643,82.30762413909531,0.9600000000000007
7,-closedLoop,350.0,2292.0694770947803,1356.4999999999998,0.0,0.06854906066571989,0.1449171303453483,32,20000,4.237,0.11043118140717198,0.2484236733839721,0.40252542764208643,82.30762413909531,0.9600000000000007
7,hard-only,339.6666666666667,1931.4368748485151,1314.5000000000002,0.0,0.8725041353484427,0.6286162838256293,41,20000,0.8336971999997331,0.1089990490006987,0.27875539857904685,0.4340079039558029,85.5122426509961,0.9140000000000007
7,GA-SA-multiSoH,282.6666666666667,2127.0347875146313,1321.5000000000002,0.0,0.31376405398590795,0.6633174235733813,1,20000,7.074964100000216,0.10965234420298531,0.230613330535264,0.39771711775102747,82.38207794681688,0.7720000000000006
8,Full,346.0,2490.1005370271246,1375.8333333333333,0.0,0.2843817879186726,0.5485891063756422,30,20000,4.469,0.06256012856574159,0.14002927938559773,0.3642299995432803,84.29638448292931,0.9480000000000007
8,-health,343.6666666666667,2128.274532287027,1380.6666666666665,0.0,0.646719123869626,0.5323930865382188,19,20000,0.8215511000016704,0.06556585360961024,0.17470780885576453,0.4517497319868222,88.98520862293887,0.9260000000000007
8,-adaptW,319.3333333333333,2587.09546526662,1388.3333333333335,0.0,0.15742376186229895,0.30367964655678986,35,20000,0.8150783000019146,0.06467024906833763,0.2049383843674718,0.4613979245600799,84.48685034497221,0.8780000000000007
8,-impAstar,346.0,2490.1005370271246,1375.8333333333333,0.0,0.2843817879186726,0.5485891063756422,30,20000,0.8347435000032419,0.06256012856574159,0.14002927938559773,0.3642299995432803,84.29638448292931,0.9480000000000007
8,-closedLoop,346.0,2490.1005370271246,1375.8333333333333,0.0,0.2843817879186726,0.5485891063756422,30,20000,4.469,0.06256012856574159,0.14002927938559773,0.3642299995432803,84.29638448292931,0.9480000000000007
8,hard-only,343.6666666666667,2128.274532287027,1380.6666666666665,0.0,0.646719123869626,0.5323930865382188,19,20000,0.83847379999861,0.06556585360961024,0.17470780885576453,0.4517497319868222,88.98520862293887,0.9260000000000007
8,GA-SA-multiSoH,303.0,2373.5464183687773,1356.0,0.0,0.2724820277852116,0.5256337728942775,1,20000,7.055219999998371,0.0664830556792639,0.18329517968939313,0.5016690321316375,84.11377649022413,0.8120000000000006
9,Full,368.6666666666667,2040.97031937319,1356.5,0.0,0.5867069197448561,0.8497395088160893,41,20000,4.08,0.08963145387383974,0.2392044195669395,0.35097717782307414,80.83797693031117,1.0160000000000002
9,-health,298.0,1786.650130400354,1336.1666666666667,0.0,0.9242162753553336,0.401654858971473,14,20000,0.8374629999998433,0.09131396962477294,0.2418298829957337,0.3641705749980835,81.47753370159231,0.8040000000000006
