seed,variant,row,f1,f2,f3,f4,knee
1,-closedLoop,16,313.66666666666663,2521.3777670952954,1357.1666666666665,0.0,0
1,-closedLoop,17,338.66666666666663,2392.300106974386,1382.5,0.0,0
1,-closedLoop,18,338.6666666666667,2374.8542317197507,1379.5,0.0,0
1,-closedLoop,19,338.6666666666667,2397.2449273436955,1375.1666666666667,0.0,0
1,-closedLoop,20,320.6666666666667,2359.5569292458686,1393.5,0.0,0
1,-closedLoop,21,319.3333333333333,2371.462607432849,1388.5,0.0,0
1,-closedLoop,22,330.0,2357.8068153187414,1402.1666666666665,0.0,0
1,-closedLoop,23,287.0,2414.8142922444517,1374.0,0.0,0
1,-closedLoop,24,331.6666666666667,2370.03607252825,1389.8333333333335,0.0,0
1,hard-only,0,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,1,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,2,307.0,2097.5424787849875,1344.3333333333333,0.0,0
1,hard-only,3,307.0,1998.7663302804656,1348.0,0.0,0
1,hard-only,4,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,5,295.3333333333333,2034.4537313344842,1361.0,0.0,0
1,hard-only,6,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,7,311.66666666666663,2046.0994043545397,1346.8333333333335,0.0,0
1,hard-only,8,300.66666666666663,2095.7105158220243,1350.5000000000002,0.0,0
1,hard-only,9,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,10,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,11,307.0,2076.2095528590617,1346.1666666666667,0.0,0
1,hard-only,12,344.6666666666667,1973.857737687873,1384.3333333333333,0.0,0
1,hard-only,13,307.0,1981.9920474190133,1354.8333333333333,0.0,0
1,hard-only,14,344.6666666666667,1973.1913673175027,1385.6666666666665,0.0,0
1,hard-only,15,295.0,2066.231681652518,1351.8333333333333,0.0,0
1,hard-only,16,300.66666666666663,2095.7105158220243,1350.5000000000002,0.0,0
1,hard-only,17,292.6666666666667,2081.7138887957653,1357.0,0.0,0
1,hard-only,18,307.0,2062.042997303506,1346.6666666666667,0.0,0
1,hard-only,19,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,20,295.0,2066.231681652518,1351.8333333333333,0.0,0
1,hard-only,21,311.66666666666663,2046.0994043545397,1346.8333333333335,0.0,0
1,hard-only,22,303.66666666666663,2049.433811761947,1351.6666666666667,0.0,0
1,hard-only,23,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,24,344.6666666666667,1973.857737687873,1384.3333333333333,0.0,0
1,hard-only,25,339.6666666666667,1978.6528774582853,1394.8333333333333,0.0,1
1,hard-only,26,302.6666666666667,2063.543923229432,1350.8333333333333,0.0,0
1,hard-only,27,295.3333333333333,2034.4537313344842,1361.0,0.0,0
1,hard-only,28,302.6666666666667,2106.8766269331354,1347.9999999999998,0.0,0
