arm,lam,seed,delta_h_mean,delta_h_max,gini_delta_h,delta_h_low_mean,delta_h_high_mean,h_end_min_lowgrp,share_low
nohealth,0.0,29,-0.11701259454375963,0.23932459282159846,0.34944570913854256,-0.3119505453320546,0.07792535624453534,0.7388720916974195,0.52
full,0.0,30,-0.01119615826214182,0.27022800520175816,0.4660734699173421,-0.1454583139209161,0.12306599739663246,0.34748439816501486,0.18
hard,0.0,30,0.06852527676926908,0.2720013199069987,0.7028762673649347,0.0,0.13705055353853815,0.34748439816501486,0.0
nohealth,0.0,30,-0.11319158345498523,0.2186693987709265,0.37092646690078857,-0.29626170879899916,0.06987854188902869,0.7268733954336918,0.56
full,1.0,1,-0.1271179937836566,0.14317627899687047,0.4496327177864172,-0.2892599327218706,0.03502394515455742,0.7307998095974559,0.48
hard,1.0,1,0.047010200537167056,0.1911674800199048,0.6305947260420346,0.0,0.09402040107433411,0.35233843751553295,0.0
nohealth,1.0,1,-0.12550127135014968,0.15395955887805624,0.45782738776892673,-0.2922663667877642,0.04126382408746485,0.7377211978804347,0.5
full,1.0,2,-0.1301363529275143,0.18615302903939568,0.3264676918913436,-0.3545204658547754,0.09424775999974677,0.7377661177323475,0.5
hard,1.0,2,0.07048340608994887,0.23000813823088773,0.6236172586078694,0.0,0.14096681217989773,0.31682425077358367,0.0
nohealth,1.0,2,-0.12902667743904347,0.15504197396550723,0.3405494877150266,-0.3396359410433115,0.08158258616522458,0.7378818780391904,0.52
full,1.0,3,0.00564390469855035,0.22832213581113825,0.38555197842935307,-0.15096433877161752,0.16225214816871822,0.3213078229153842,0.18
hard,1.0,3,0.08843588120491531,0.2526077142515082,0.595773723278028,0.0,0.17687176240983063,0.3213078229153842,0.0
nohealth,1.0,3,-0.1028774986743557,0.2290757404828816,0.2970999405166588,-0.3434286076154919,0.13767361026678046,0.7433102493786595,0.44
full,1.0,4,-0.04712961751009555,0.25636123142353595,0.36768128777066766,-0.2564120716348449,0.16215283661465382,0.36807036336773774,0.24
hard,1.0,4,0.09219645071149338,0.26097176792099097,0.582126469442817,0.0,0.18439290142298675,0.32987043548338324,0.0
nohealth,1.0,4,-0.09644155748640634,0.22213978106263021,0.2990225563822637,-0.3396765181122891,0.1467934031394764,0.7495969680778114,0.46
full,1.0,5,0.04097271806484064,0.25491010387884105,0.49893657998998653,-0.06607418337198816,0.14801961950166945,0.3278889415819196,0.22
hard,1.0,5,0.08384196410807947,0.28990111746250524,0.6502483256456455,0.0,0.16768392821615893,0.3278889415819196,0.0
nohealth,1.0,5,-0.07994782079454874,0.20054613243644837,0.34496227629947085,-0.27828948095994954,0.1183938393708521,0.7027769318292826,0.48
full,1.0,6,-0.14411830803956846,0.07313655701438804,0.4881818595031022,-0.32035108553184694,0.03211446945271006,0.7437728655515333,0.48
hard,1.0,6,0.03818035299941038,0.1480025751693803,0.6606026965082119,0.0,0.07636070599882076,0.32863531176746946,0.0
nohealth,1.0,6,-0.14846647241821692,0.09270066341814809,0.47665807300608787,-0.3191619964351264,0.022229051598692463,0.7216104729405752,0.48
full,1.0,7,0.017900615483016247,0.292633242289123,0.2921946994860847,-0.22377058984313364,0.2595718208091661,0.3601785217252042,0.14
hard,1.0,7,0.13629316339976227,0.29743057524929295,0.5234422882289826,0.0,0.27258632679952455,0.30940883840000394,0.0
nohealth,1.0,7,-0.0682957836126736,0.24319998581112257,0.16166579090850997,-0.35315742530075517,0.2165658580754079,0.7155088973272317,0.52
full,1.0,8,-0.027332537450877603,0.20831888346595318,0.4780238933142438,-0.14337983321734,0.08871475831558477,0.32032786237925137,0.26
hard,1.0,8,0.05324973593930549,0.22970541513517484,0.6931227829959496,0.0,0.10649947187861097,0.32032786237925137,0.0
nohealth,1.0,8,-0.11362944278186837,0.16993981330199914,0.4670907287231314,-0.2748801651678862,0.04762127960414948,0.7293363477598954,0.54
full,1.0,9,-0.029392370641248926,0.1978844368419358,0.47812773711990086,-0.1526125782614261,0.09382783697892824,0.37073366093323484,0.18
hard,1.0,9,0.05407885684495615,0.19803589006072797,0.6552600835426019,0.0,0.1081577136899123,0.37073366093323484,0.0
nohealth,1.0,9,-0.11025549634849915,0.14378880989245146,0.35763355021241994,-0.2768094487465637,0.056298456049565404,0.725235309505863,0.48
full,1.0,10,-0.02567130515203942,0.2377346297882036,0.3083074416830236,-0.22321884048743285,0.17187623018335402,0.3390643909447751,0.22
hard,1.0,10,0.09318744298118779,0.2576382988148208,0.5843544543657888,0.0,0.18637488596237559,0.3390643909447751,0.0
nohealth,1.0,10,-0.08902324706666413,0.15263874119805176,0.3081780035698882,-0.2910115150644729,0.11296502093114466,0.7243745848338191,0.52
full,1.0,11,-0.08036393082450463,0.2505273629598107,0.3106110482781774,-0.2768112864662043,0.11608342481719505,0.7178738260941446,0.2
hard,1.0,11,0.06550198066000994,0.28388338758283005,0.7178376858439472,0.0,0.13100396132001987,0.45073443288627635,0.0
nohealth,1.0,11,-0.0862734976642571,0.19944754506635443,0.30437896502701145,-0.23268797624627532,0.06014098091776112,0.7163641108710381,0.56
full,1.0,12,-0.045153212000417685,0.2392294365868446,0.48099394823277763,-0.20427990516169955,0.11397348116086421,0.3130542734150614,0.14
hard,1.0,12,0.06618531248971507,0.24568533727802389,0.6721724934977205,0.0,0.13237062497943014,0.3130542734150614,0.0
nohealth,1.0,12,-0.11883049168449207,0.20000535116012585,0.3502293492682238,-0.31305823432936714,0.075397250960383,0.7299814585285315,0.52
full,1.0,13,0.0714199775779021,0.27788054586372535,0.43400824691088036,-0.0713827723147421,0.2142227274705463,0.40337630160904503,0.22
hard,1.0,13,0.11383931083312775,0.2891384406676125,0.5861926470246843,0.0,0.2276786216662555,0.40337630160904503,0.0
nohealth,1.0,13,-0.039350201922157955,0.25118657434424707,0.2123512533526566,-0.25867316641388904,0.17997276256957312,0.7380207675970698,0.44
full,1.0,14,-0.0435952866202085,0.16890270505285776,0.4758563434554801,-0.20302804759104548,0.11583747435062848,0.3184417814980253,0.14
hard,1.0,14,0.06543340365450613,0.17973331359970002,0.5706234017085681,0.0,0.13086680730901226,0.30680354550185696,0.0
nohealth,1.0,14,-0.15157499266078706,0.12109450481736717,0.41140515314394177,-0.3681464853289597,0.06499650000738562,0.7241866906309157,0.52
full,1.0,15,-0.12687349575749088,0.19928234475794893,0.3212970632301033,-0.3457829212182861,0.09203592970330432,0.75284028548541,0.48
hard,1.0,15,0.07043543306394741,0.24540973727172188,0.6799373938183344,0.0,0.14087086612789482,0.35453568606737923,0.0
nohealth,1.0,15,-0.13095786040496776,0.17787905050848674,0.333960881057243,-0.3238853259359661,0.0619696051260306,0.7121951628706473,0.56
full,1.0,16,-0.023396479041532876,0.18577937034540015,0.46228200801413233,-0.16556954064759716,0.11877658256453139,0.306164891857608,0.28
hard,1.0,16,0.07158629528735096,0.20500147817494807,0.6320920508398091,0.0,0.1431725905747019,0.306164891857608,0.0
nohealth,1.0,16,-0.11587083795854017,0.17850670164601545,0.33721025993609466,-0.3197358284155449,0.08799415249846454,0.714564707139058,0.54
full,1.0,17,-0.031758931561311085,0.23774361072972572,0.48436596772343044,-0.18663216991292003,0.12311430679029786,0.4148661270249999,0.24
hard,1.0,17,0.07225696572832922,0.2593415734692339,0.6630948845281883,0.0,0.14451393145665845,0.4148661270249999,0.0
nohealth,1.0,17,-0.10390946357695947,0.23823928633599856,0.30029320265355985,-0.2834803488229535,0.07566142166903451,0.7119796895047089,0.52
full,1.0,18,0.001719337649389363,0.20973238871254052,0.2882126432359493,-0.16222536597920387,0.1656640412779826,0.4558863766453769,0.24
hard,1.0,18,0.08984284956525755,0.2457670191824204,0.5928812938677435,0.0,0.1796856991305151,0.42521318803445496,0.0
nohealth,1.0,18,-0.0522481085970551,0.17086342002068344,0.225339677942195,-0.2275097679453192,0.12301355075120904,0.7321618695898192,0.58
full,1.0,19,-0.030030505573087646,0.2474830186253526,0.4233197736398313,-0.21092545407035615,0.15086444292418086,0.3029397554043654,0.18
hard,1.0,19,0.08284898369122841,0.2653837193647841,0.6228154248868101,0.0,0.16569796738245682,0.3029397554043654,0.0
nohealth,1.0,19,-0.1159322695538684,0.18316545359460623,0.2992073355476248,-0.3559243683301318,0.124059829222395,0.753738676038093,0.42
full,1.0,20,-0.0947739637970045,0.13720111933117385,0.36220299588430094,-0.26143675594994553,0.07188882835593653,0.7531792307767768,0.5
hard,1.0,20,0.060718076404961595,0.18788046081032328,0.6187044489929783,0.0,0.12143615280992319,0.42345039645223287,0.0
nohealth,1.0,20,-0.09493153936527769,0.10966957817062761,0.35683188056870807,-0.2525521348551217,0.06268905612456628,0.7251133092580287,0.56
full,1.0,21,0.005778657066830495,0.24849476019031846,0.4159729623096393,-0.12031216168470213,0.1318694758183631,0.36783207786804173,0.2
