scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,A*-GA,10,0,150.0,180.0,220.0,thermal,6,0.7,278.0,858.0,208.63309352517985,0,53,53,100.0,0,,0.0,0,454.0,7,None,1,0.5597815060204968,10
compound,noFLC,10,0,150.0,180.0,220.0,thermal,6,0.7,284.0,578.0,103.52112676056338,0,53,53,100.0,3,114.80280000250787,573.9808000034827,28000,446.0,7,None,1,0.5762010162879168,10
compound,moead-cl,10,0,150.0,180.0,220.0,thermal,6,0.7,284.0,515.0,81.33802816901408,0,53,53,100.0,2,554.4183999991219,1101.8742999985989,8000,429.0,1,None,1,0.5941024650011849,10
compound,EHCO,11,0,150.0,180.0,220.0,thermal,6,0.7,321.0,693.0,115.88785046728971,0,53,53,100.0,3,115.55999999836786,599.1111000003002,28000,440.0,8,524.0,1,0.5981715267055442,10
compound,A*-GA,11,0,150.0,180.0,220.0,thermal,6,0.7,310.0,1378.0,344.51612903225805,0,53,53,100.0,0,,0.0,0,431.0,9,None,1,0.5583074330151767,10
compound,noFLC,11,0,150.0,180.0,220.0,thermal,6,0.7,321.0,772.0,140.49844236760126,0,53,53,100.0,3,111.57300000195391,586.7646000006062,28000,442.0,3,595.0,1,0.5981296474345266,10
compound,moead-cl,11,0,150.0,180.0,220.0,thermal,6,0.7,321.0,1169.0,264.17445482866043,0,53,53,100.0,2,548.282299998391,1088.1002999958582,8000,443.0,0,None,1,0.5583341758510802,10
compound,EHCO,12,0,150.0,180.0,220.0,thermal,6,0.7,313.0,595.0,90.09584664536742,0,53,53,100.0,3,121.82270000266726,615.4378000028373,28000,447.0,4,None,1,0.5760090707169622,10
compound,A*-GA,12,0,150.0,180.0,220.0,thermal,6,0.7,310.0,1181.0,280.96774193548384,0,53,53,100.0,0,,0.0,0,409.0,0,None,1,0.5582437383874017,10
compound,noFLC,12,0,150.0,180.0,220.0,thermal,6,0.7,313.0,684.0,118.53035143769968,0,53,53,100.0,3,116.25639999692794,603.6806999945838,28000,447.0,5,666.0,1,0.5709157836654943,10
compound,moead-cl,12,0,150.0,180.0,220.0,thermal,6,0.7,313.0,1149.0,267.0926517571885,0,53,53,100.0,3,556.7823999990651,3836.769400000776,28000,445.0,5,None,1,0.5583911612474605,10
