scenario,seed,instance,f1_event_stdA,f1_event_EHCO,abs_diff,deg_diff
fault,11,2,456.0,456.0,0.0,0.0
fault,12,2,364.0,364.0,0.0,0.0
fault,13,2,380.0,380.0,0.0,0.0
fault,14,2,280.0,280.0,0.0,0.0
fault,15,2,369.0,369.0,0.0,0.0
fault,16,2,300.0,300.0,0.0,0.0
fault,17,2,391.0,391.0,0.0,0.0
fault,18,2,428.0,428.0,0.0,0.0
fault,19,2,404.0,404.0,0.0,0.0
fault,20,2,452.0,452.0,0.0,0.0
fault,21,2,487.0,487.0,0.0,0.0
fault,22,2,507.0,507.0,0.0,0.0
fault,23,2,406.0,406.0,0.0,0.0
fault,24,2,275.0,275.0,0.0,0.0
fault,25,2,619.0,619.0,0.0,0.0
fault,26,2,285.0,285.0,0.0,0.0
fault,27,2,473.0,473.0,0.0,0.0
fault,28,2,447.0,447.0,0.0,0.0
fault,29,2,348.0,348.0,0.0,0.0
fault,30,2,398.0,398.0,0.0,0.0
fault,1,3,328.0,328.0,0.0,0.0
fault,2,3,309.0,309.0,0.0,0.0
fault,3,3,384.0,384.0,0.0,0.0
fault,4,3,324.0,324.0,0.0,0.0
fault,5,3,357.0,357.0,0.0,0.0
fault,6,3,336.0,336.0,0.0,0.0
fault,7,3,346.0,346.0,0.0,0.0
fault,8,3,330.0,330.0,0.0,0.0
fault,9,3,324.0,324.0,0.0,0.0
fault,10,3,300.0,300.0,0.0,0.0
fault,11,3,330.0,330.0,0.0,0.0
fault,12,3,341.0,341.0,0.0,0.0
fault,13,3,332.0,332.0,0.0,0.0
fault,14,3,361.0,361.0,0.0,0.0
fault,15,3,293.0,293.0,0.0,0.0
fault,16,3,313.0,313.0,0.0,0.0
fault,17,3,329.0,329.0,0.0,0.0
fault,18,3,350.0,350.0,0.0,0.0
fault,19,3,367.0,367.0,0.0,0.0
fault,20,3,309.0,309.0,0.0,0.0
fault,21,3,336.0,336.0,0.0,0.0
fault,22,3,359.0,359.0,0.0,0.0
fault,23,3,351.0,351.0,0.0,0.0
fault,24,3,308.0,308.0,0.0,0.0
fault,25,3,317.0,317.0,0.0,0.0
fault,26,3,317.0,317.0,0.0,0.0
fault,27,3,341.0,341.0,0.0,0.0
fault,28,3,322.0,322.0,0.0,0.0
fault,29,3,297.0,297.0,0.0,0.0
fault,30,3,298.0,298.0,0.0,0.0
fault,1,4,352.0,352.0,0.0,0.0
fault,2,4,300.0,300.0,0.0,0.0
fault,3,4,328.0,328.0,0.0,0.0
fault,4,4,323.0,323.0,0.0,0.0
fault,5,4,307.0,307.0,0.0,0.0
fault,6,4,379.0,379.0,0.0,0.0
fault,7,4,345.0,345.0,0.0,0.0
fault,8,4,376.0,376.0,0.0,0.0
fault,9,4,328.0,328.0,0.0,0.0
fault,10,4,310.0,310.0,0.0,0.0
fault,11,4,352.0,352.0,0.0,0.0
fault,12,4,302.0,302.0,0.0,0.0
fault,13,4,327.0,327.0,0.0,0.0
fault,14,4,314.0,314.0,0.0,0.0
fault,15,4,315.0,315.0,0.0,0.0
fault,16,4,336.0,336.0,0.0,0.0
fault,17,4,382.0,382.0,0.0,0.0
fault,18,4,350.0,350.0,0.0,0.0
fault,19,4,328.0,328.0,0.0,0.0
fault,20,4,316.0,316.0,0.0,0.0
fault,21,4,313.0,313.0,0.0,0.0
fault,22,4,328.0,328.0,0.0,0.0
fault,23,4,374.0,374.0,0.0,0.0
fault,24,4,290.0,290.0,0.0,0.0
fault,25,4,284.0,284.0,0.0,0.0
fault,26,4,317.0,317.0,0.0,0.0
fault,27,4,360.0,360.0,0.0,0.0
fault,28,4,353.0,353.0,0.0,0.0
fault,29,4,290.0,290.0,0.0,0.0
fault,30,4,329.0,329.0,0.0,0.0
