scenario,strategy,seed,instance,f1_base,f1_event,deg_pct,warn_t,min_h,n_replans
fault,stdA*,7,3,355.0,346.0,-2.535211267605634,169.0,0.4164939637406575,1
fault,stdA*,8,3,350.0,330.0,-5.714285714285714,165.0,0.4234635953869952,1
fault,stdA*,9,3,373.0,324.0,-13.136729222520108,162.0,0.4244334394781888,1
fault,stdA*,10,3,284.0,300.0,5.633802816901409,171.0,0.477982142054128,1
fault,stdA*,11,3,321.0,330.0,2.803738317757009,164.0,0.4061307417005385,1
fault,stdA*,12,3,313.0,341.0,8.945686900958465,167.0,0.42162371474370064,1
fault,stdA*,13,3,312.0,332.0,6.41025641025641,166.0,0.41396540570253804,1
fault,stdA*,14,3,280.0,361.0,28.92857142857143,172.0,0.40261646637260196,1
fault,stdA*,15,3,369.0,293.0,-20.59620596205962,162.0,0.42602010758835884,1
fault,stdA*,16,3,300.0,313.0,4.333333333333334,162.0,0.435354054740714,1
fault,stdA*,17,3,391.0,329.0,-15.856777493606138,164.0,0.4484661389417492,1
fault,stdA*,18,3,428.0,350.0,-18.22429906542056,172.0,0.4256519106752232,1
fault,stdA*,19,3,308.0,367.0,19.155844155844157,169.0,0.4056345582899814,1
fault,stdA*,20,3,399.0,309.0,-22.55639097744361,161.0,0.4445856997527725,1
fault,stdA*,21,3,337.0,336.0,-0.2967359050445104,176.0,0.4468561293320849,1
fault,stdA*,22,3,344.0,359.0,4.3604651162790695,164.0,0.4094659389086078,1
fault,stdA*,23,3,357.0,351.0,-1.680672268907563,163.0,0.3954625480224984,1
fault,stdA*,24,3,275.0,308.0,12.0,172.0,0.44854382439535345,1
fault,stdA*,25,3,356.0,317.0,-10.955056179775282,165.0,0.44253718649710083,1
fault,stdA*,26,3,285.0,317.0,11.228070175438596,166.0,0.44922242680436786,1
fault,stdA*,27,3,473.0,341.0,-27.906976744186046,171.0,0.430066800650518,1
fault,stdA*,28,3,335.0,322.0,-3.880597014925373,168.0,0.4229031259933948,1
fault,stdA*,29,3,348.0,297.0,-14.655172413793101,165.0,0.44343010053325566,1
fault,stdA*,30,3,302.0,298.0,-1.3245033112582782,167.0,0.4199315325784961,1
fault,stdA*,1,4,316.0,352.0,11.39240506329114,156.0,0.43966541314163876,1
fault,stdA*,2,4,325.0,300.0,-7.6923076923076925,146.0,0.45269289217099956,1
fault,stdA*,3,4,307.0,328.0,6.840390879478828,148.0,0.4097273830021925,1
fault,stdA*,4,4,394.0,323.0,-18.02030456852792,151.0,0.45167692888781563,1
fault,stdA*,5,4,334.0,307.0,-8.08383233532934,147.0,0.4260145894189503,1
fault,stdA*,6,4,297.0,379.0,27.609427609427613,151.0,0.3950755646705185,1
fault,stdA*,7,4,355.0,345.0,-2.8169014084507045,154.0,0.41486527257262,1
fault,stdA*,8,4,350.0,376.0,7.428571428571429,144.0,0.38375469368539056,1
fault,stdA*,9,4,373.0,328.0,-12.064343163538874,146.0,0.44003988077254763,1
fault,stdA*,10,4,284.0,310.0,9.15492957746479,152.0,0.4491912036374611,1
fault,stdA*,11,4,321.0,352.0,9.657320872274143,153.0,0.40994542238361276,1
fault,stdA*,12,4,313.0,302.0,-3.5143769968051117,142.0,0.4025361252673096,1
fault,stdA*,13,4,312.0,327.0,4.807692307692308,152.0,0.4526064468966258,1
fault,stdA*,14,4,280.0,314.0,12.142857142857142,156.0,0.43948076186845164,1
fault,stdA*,15,4,369.0,315.0,-14.634146341463413,150.0,0.40942579076483604,1
fault,stdA*,16,4,300.0,336.0,12.0,154.0,0.42154148871995234,1
fault,stdA*,17,4,391.0,382.0,-2.3017902813299234,149.0,0.39920068042127754,1
fault,stdA*,18,4,428.0,350.0,-18.22429906542056,149.0,0.4095520472527434,1
fault,stdA*,19,4,308.0,328.0,6.493506493506493,155.0,0.39497509595668645,1
fault,stdA*,20,4,399.0,316.0,-20.80200501253133,152.0,0.4295797380364559,1
fault,stdA*,21,4,337.0,313.0,-7.121661721068249,157.0,0.4565518271241843,1
