variant,seed,agv,soh,task_count,band
hard-only,5,8,0.903,6,high
hard-only,5,9,0.7182,5,low
hard-only,6,0,0.7155,4,low
hard-only,6,1,0.9551,6,high
hard-only,6,2,0.7027,7,low
hard-only,6,3,0.9936,4,high
hard-only,6,4,0.9481,4,high
hard-only,6,5,0.9356,7,high
hard-only,6,6,0.7144,3,low
hard-only,6,7,0.7622,5,low
hard-only,6,8,0.955,5,high
hard-only,6,9,0.8297,5,mid
hard-only,7,0,0.7909,5,low
hard-only,7,1,0.7835,6,low
hard-only,7,2,0.7765,4,low
hard-only,7,3,0.8335,5,mid
hard-only,7,4,0.8514,4,mid
hard-only,7,5,0.866,5,mid
hard-only,7,6,0.9987,6,high
hard-only,7,7,0.9378,5,high
hard-only,7,8,0.8867,6,mid
hard-only,7,9,0.9967,4,high
hard-only,8,0,0.7724,5,low
hard-only,8,1,0.7771,5,low
hard-only,8,2,0.7554,5,low
hard-only,8,3,0.7582,4,low
hard-only,8,4,0.9441,5,high
hard-only,8,5,0.8269,5,mid
hard-only,8,6,0.7768,5,low
hard-only,8,7,0.8773,6,mid
hard-only,8,8,0.8813,5,mid
hard-only,8,9,0.8941,5,mid
hard-only,9,0,0.8455,4,mid
hard-only,9,1,0.7195,6,low
hard-only,9,2,0.7017,5,low
hard-only,9,3,0.9492,4,high
hard-only,9,4,0.995,4,high
hard-only,9,5,0.9354,3,high
hard-only,9,6,0.7947,6,low
hard-only,9,7,0.9116,5,high
hard-only,9,8,0.7898,6,low
hard-only,9,9,0.9222,7,high
hard-only,10,0,0.9476,5,high
hard-only,10,1,0.8015,5,mid
hard-only,10,2,0.8727,5,mid
hard-only,10,3,0.926,6,high
hard-only,10,4,0.9481,5,high
hard-only,10,5,0.98,5,high
hard-only,10,6,0.7435,5,low
hard-only,10,7,0.9237,5,high
hard-only,10,8,0.7418,4,low
hard-only,10,9,0.972,5,high
hard-only,11,0,0.8107,6,mid
hard-only,11,1,0.8534,3,mid
hard-only,11,2,0.8989,5,mid
hard-only,11,3,0.7826,5,low
hard-only,11,4,0.7414,4,low
hard-only,11,5,0.9364,6,high
hard-only,11,6,0.9011,4,high
hard-only,11,7,0.8537,4,mid
hard-only,11,8,0.945,7,high
hard-only,11,9,0.8647,6,mid
hard-only,12,0,0.7008,5,low
hard-only,12,1,0.8624,6,mid
hard-only,12,2,0.7321,4,low
hard-only,12,3,0.7774,5,low
hard-only,12,4,0.8251,5,mid
hard-only,12,5,0.8361,4,mid
hard-only,12,6,0.8404,5,mid
hard-only,12,7,0.9783,5,high
hard-only,12,8,0.7776,4,low
hard-only,12,9,0.7564,7,low
hard-only,13,0,0.7859,4,low
hard-only,13,1,0.9441,4,high
hard-only,13,2,0.7247,4,low
hard-only,13,3,0.8315,5,mid
hard-only,13,4,0.9453,5,high
hard-only,13,5,0.8226,4,mid
hard-only,13,6,0.8553,6,mid
hard-only,13,7,0.7351,6,low
hard-only,13,8,0.9442,6,high
hard-only,13,9,0.8494,6,mid
hard-only,14,0,0.9239,5,high
hard-only,14,1,0.7191,5,low
hard-only,14,2,0.8941,5,mid
hard-only,14,3,0.9208,4,high
hard-only,14,4,0.8196,5,mid
hard-only,14,5,0.8522,5,mid
hard-only,14,6,0.7686,6,low
hard-only,14,7,0.8951,4,mid
hard-only,14,8,0.9914,5,high
hard-only,14,9,0.7896,6,low
hard-only,15,0,0.9344,4,high
hard-only,15,1,0.9531,5,high
hard-only,15,2,0.8665,5,mid
hard-only,15,3,0.9825,6,high
hard-only,15,4,0.7055,4,low
hard-only,15,5,0.9668,4,high
hard-only,15,6,0.8169,6,mid
hard-only,15,7,0.7695,5,low
hard-only,15,8,0.8603,5,mid
hard-only,15,9,0.9834,6,high
hard-only,16,0,0.7554,6,low
hard-only,16,1,0.9087,6,high
hard-only,16,2,0.7465,6,low
hard-only,16,3,0.9075,4,high
hard-only,16,4,0.9876,4,high
hard-only,16,5,0.9955,5,high
hard-only,16,6,0.899,4,mid
hard-only,16,7,0.7491,5,low
hard-only,16,8,0.8185,4,mid
hard-only,16,9,0.7834,6,low
hard-only,17,0,0.7762,4,low
hard-only,17,1,0.8812,6,mid
hard-only,17,2,0.7251,3,low
hard-only,17,3,0.9993,4,high
hard-only,17,4,0.9497,5,high
hard-only,17,5,0.711,7,low
hard-only,17,6,0.8703,6,mid
hard-only,17,7,0.8828,4,mid
hard-only,17,8,0.7021,5,low
hard-only,17,9,0.7537,6,low
hard-only,18,0,0.7941,4,low
hard-only,18,1,0.9209,5,high
hard-only,18,2,0.9722,6,high
hard-only,18,3,0.9666,5,high
hard-only,18,4,0.9845,5,high
hard-only,18,5,0.7076,5,low
hard-only,18,6,0.9214,6,high
hard-only,18,7,0.9018,5,high
hard-only,18,8,0.8876,4,mid
hard-only,18,9,0.8913,5,mid
hard-only,19,0,0.9784,5,high
hard-only,19,1,0.831,6,mid
hard-only,19,2,0.8229,6,mid
hard-only,19,3,0.884,5,mid
hard-only,19,4,0.9141,4,high
hard-only,19,5,0.886,4,mid
hard-only,19,6,0.8299,5,mid
hard-only,19,7,0.8326,6,mid
hard-only,19,8,0.8938,5,mid
hard-only,19,9,0.9754,4,high
hard-only,20,0,0.8921,4,mid
hard-only,20,1,0.7811,9,low
hard-only,20,2,0.7906,5,low
hard-only,20,3,0.722,5,low
hard-only,20,4,0.7158,4,low
hard-only,20,5,0.9422,5,high
hard-only,20,6,0.944,4,high
hard-only,20,7,0.7015,4,low
hard-only,20,8,0.799,6,low
hard-only,20,9,0.7267,4,low
hard-only,21,0,0.7592,3,low
hard-only,21,1,0.9016,7,high
hard-only,21,2,0.9978,3,high
hard-only,21,3,0.7628,5,low
hard-only,21,4,0.9562,7,high
hard-only,21,5,0.9097,4,high
hard-only,21,6,0.7665,6,low
hard-only,21,7,0.7554,5,low
hard-only,21,8,0.9862,6,high
hard-only,21,9,0.8021,4,mid
hard-only,22,0,0.8822,6,mid
hard-only,22,1,0.715,4,low
hard-only,22,2,0.8432,4,mid
hard-only,22,3,0.7989,5,low
hard-only,22,4,0.7649,7,low
hard-only,22,5,0.9391,5,high
hard-only,22,6,0.8263,6,mid
hard-only,22,7,0.731,4,low
hard-only,22,8,0.8107,4,mid
hard-only,22,9,0.9745,5,high
hard-only,23,0,0.8246,5,mid
hard-only,23,1,0.8047,4,mid
hard-only,23,2,0.7192,6,low
hard-only,23,3,0.8364,5,mid
hard-only,23,4,0.7904,6,low
hard-only,23,5,0.8167,4,mid
hard-only,23,6,0.8621,5,mid
hard-only,23,7,0.9051,5,high
hard-only,23,8,0.8874,5,mid
hard-only,23,9,0.9228,5,high
hard-only,24,0,0.9136,5,high
hard-only,24,1,0.823,5,mid
hard-only,24,2,0.9829,4,high
hard-only,24,3,0.7093,5,low
hard-only,24,4,0.9409,5,high
hard-only,24,5,0.8806,4,mid
hard-only,24,6,0.7123,5,low
hard-only,24,7,0.7997,5,low
hard-only,24,8,0.8135,7,mid
hard-only,24,9,0.7528,5,low
hard-only,25,0,0.93,6,high
hard-only,25,1,0.9751,4,high
hard-only,25,2,0.8061,5,mid
hard-only,25,3,0.9357,3,high
hard-only,25,4,0.744,6,low
hard-only,25,5,0.8625,4,mid
hard-only,25,6,0.8791,7,mid
hard-only,25,7,0.937,4,high
hard-only,25,8,0.7836,5,low
hard-only,25,9,0.8241,6,mid
hard-only,26,0,0.852,7,mid
hard-only,26,1,0.8026,5,mid
hard-only,26,2,0.9887,5,high
hard-only,26,3,0.8559,5,mid
hard-only,26,4,0.7607,5,low
hard-only,26,5,0.7772,4,low
hard-only,26,6,0.8651,6,mid
hard-only,26,7,0.9545,5,high
hard-only,26,8,0.8011,4,mid
hard-only,26,9,0.9713,4,high
hard-only,27,0,0.821,5,mid
hard-only,27,1,0.7545,4,low
hard-only,27,2,0.9581,6,high
hard-only,27,3,0.9721,9,high
hard-only,27,4,0.7905,5,low
hard-only,27,5,0.8066,3,mid
hard-only,27,6,0.9261,4,high
hard-only,27,7,0.7805,7,low
hard-only,27,8,0.9368,4,high
hard-only,27,9,0.8353,3,mid
hard-only,28,0,0.7988,5,low
hard-only,28,1,0.9454,6,high
hard-only,28,2,0.945,4,high
hard-only,28,3,0.7218,6,low
hard-only,28,4,0.9888,5,high
hard-only,28,5,0.8031,5,mid
hard-only,28,6,0.7532,4,low
hard-only,28,7,0.8559,3,mid
hard-only,28,8,0.8866,7,mid
hard-only,28,9,0.705,5,low
hard-only,29,0,0.9364,6,high
hard-only,29,1,0.8853,4,mid
hard-only,29,2,0.9948,5,high
hard-only,29,3,0.9583,4,high
hard-only,29,4,0.8894,5,mid
hard-only,29,5,0.7559,5,low
hard-only,29,6,0.9526,6,high
hard-only,29,7,0.8264,5,mid
hard-only,29,8,0.7085,5,low
hard-only,29,9,0.9857,5,high
hard-only,30,0,0.7751,5,low
hard-only,30,1,0.8932,4,mid
hard-only,30,2,0.9707,5,high
hard-only,30,3,0.8173,5,mid
hard-only,30,4,0.8437,5,mid
hard-only,30,5,0.9302,6,high
hard-only,30,6,0.8833,5,mid
hard-only,30,7,0.9231,5,high
hard-only,30,8,0.8521,4,mid
hard-only,30,9,0.9649,6,high
GA-SA-multiSoH,1,0,0.9261,5,high
GA-SA-multiSoH,1,1,0.8614,4,mid
GA-SA-multiSoH,1,2,0.7989,5,low
GA-SA-multiSoH,1,3,0.9365,4,high
GA-SA-multiSoH,1,4,0.791,5,low
GA-SA-multiSoH,1,5,0.836,5,mid
GA-SA-multiSoH,1,6,0.7402,5,low
GA-SA-multiSoH,1,7,0.8209,6,mid
GA-SA-multiSoH,1,8,0.761,5,low
GA-SA-multiSoH,1,9,0.7787,6,low
GA-SA-multiSoH,2,0,0.8687,5,mid
GA-SA-multiSoH,2,1,0.745,3,low
GA-SA-multiSoH,2,2,0.8298,4,mid
GA-SA-multiSoH,2,3,0.9008,6,high
GA-SA-multiSoH,2,4,0.8268,7,mid
GA-SA-multiSoH,2,5,0.89,6,mid
GA-SA-multiSoH,2,6,0.9902,4,high
GA-SA-multiSoH,2,7,0.9049,4,high
GA-SA-multiSoH,2,8,0.8175,6,mid
GA-SA-multiSoH,2,9,0.7562,5,low
GA-SA-multiSoH,3,0,0.8174,5,mid
