variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
hard-only,10,1.0,359.6666666666667,2627.86575979895,-0.04195698330000478,0.16605630265309534,0.42918589161357046,0.7176598241098453,0.7752295499742707
hard-only,10,2.0,359.6666666666667,2627.86575979895,-0.03625124003290773,0.16694780739108894,0.42093333008082423,0.7025720782161659,0.7695238067071737
Full,11,0.0,546.3333333333334,4491.442274104513,-0.006151990821429354,0.14489742819477747,0.5258334622810938,0.3965776510068687,0.6766687936739373
Full,11,1.0,546.3333333333334,4491.442274104513,-0.0016615516710657419,0.1482531030485087,0.5313767459135983,0.3965776510068687,0.6721783545235738
Full,11,2.0,546.3333333333334,4491.442274104513,0.002828887479297837,0.15160877790224025,0.5383978251624477,0.3965776510068687,0.6676879153732103
-health,11,0.0,349.3333333333333,2216.401942126867,-0.09067937451346653,0.1236669872021311,0.45712330478425445,0.729131433674524,0.7611961773659746
-health,11,1.0,349.3333333333333,2216.401942126867,-0.08382216956053881,0.12667377681041747,0.46289666527581197,0.7205005675816013,0.7543389724130468
-health,11,2.0,349.3333333333333,2216.401942126867,-0.07696496460761079,0.12968056641870473,0.47052555646840055,0.7118697014886797,0.7474817674601189
hard-only,11,0.0,385.6666666666667,2820.085792655282,-0.09333595439814282,0.13367906119501183,0.42529385804618136,0.720712548740852,0.7638527572506508
hard-only,11,1.0,385.6666666666667,2820.085792655282,-0.08631629762773455,0.13684950020101083,0.41595591912970686,0.7117825300309744,0.7568331004802425
hard-only,11,2.0,385.6666666666667,2820.085792655282,-0.07929664085732634,0.14001993920701028,0.4059831658824167,0.7028525113210974,0.7498134437098345
Full,12,0.0,778.0000000000001,5359.863510344815,-0.10902749073995892,0.20908508892938282,0.45121914971289234,0.301978922530634,0.6625630234239196
Full,12,1.0,778.0000000000001,5359.863510344815,-0.10291036820234847,0.21032840356461258,0.4656955723855838,0.301978922530634,0.656445900886309
Full,12,2.0,778.0000000000001,5359.863510344815,-0.0967932456647382,0.21157171819984277,0.481393413705306,0.301978922530634,0.650328778348699
-health,12,0.0,361.33333333333337,2352.736352925654,-0.20785871356245345,0.19107481091513256,0.26526270340093694,0.7286741965029017,0.761394246246414
-health,12,1.0,361.33333333333337,2352.736352925654,-0.19816437532781378,0.19220297182939994,0.2683121882063495,0.7205145475805869,0.7516999080117743
-health,12,2.0,361.33333333333337,2352.736352925654,-0.18847003709317392,0.19333113274366753,0.27230386475785107,0.710536061851744,0.7420055697771347
hard-only,12,0.0,369.0,3396.1205585757966,-0.21031924364878335,0.10107654514789799,0.30187059046285003,0.7104423385942961,0.7638547763327441
hard-only,12,1.0,369.0,3396.1205585757966,-0.20034802124942072,0.10172938206645432,0.30725201414415904,0.6999934970308823,0.7538835539333814
hard-only,12,2.0,369.0,3396.1205585757966,-0.19037679885005815,0.10238221898501043,0.31313574676106604,0.6895446554674695,0.7439123315340188
Full,13,0.0,378.6666666666667,3452.429842591002,-0.13067952448023218,0.13858475691478334,0.3530537230564046,0.7224847397745768,0.7662417685650712
Full,13,1.0,378.6666666666667,3452.429842591002,-0.12437749512208715,0.14179119352551328,0.3622419755942341,0.7136624916899048,0.759939739206926
Full,13,2.0,378.6666666666667,3452.429842591002,-0.11807546576394179,0.14499763013624334,0.371830775760952,0.7048402436052326,0.7536377098487808
-health,13,0.0,400.6666666666667,2031.0199533528407,-0.13029271351958566,0.12669914944353888,0.28597290911841866,0.7456934928778264,0.7658549576044247
-health,13,1.0,400.6666666666667,2031.0199533528407,-0.12266294637891187,0.12976344181919142,0.2836563495614184,0.7343387329215166,0.7582251904637508
-health,13,2.0,400.6666666666667,2031.0199533528407,-0.11503317923823812,0.13282773419484406,0.2819482228399155,0.7226543219069543,0.750595423323077
hard-only,13,0.0,330.6666666666667,2891.72508103333,-0.12993097193051176,0.1260760226833505,0.33060317270091844,0.7463166196380148,0.7654932160153507
hard-only,13,1.0,330.6666666666667,2891.72508103333,-0.12225987616017746,0.12910189826278606,0.32894037808182497,0.7432907440585792,0.7578221202450164
hard-only,13,2.0,330.6666666666667,2891.72508103333,-0.11458878038984306,0.13212777384222274,0.32716513144657267,0.7329204489934775,0.750151024474682
Full,14,0.0,526.3333333333334,4029.810927929091,-0.0038393396689152424,0.2518425632525596,0.5119265103279098,0.3444947433974378,0.6711764495164104
Full,14,1.0,526.3333333333334,4029.810927929091,0.00011451064684879775,0.2523627373958016,0.51181368151985,0.3444947433974378,0.6672225992006464
Full,14,2.0,526.3333333333334,4029.810927929091,0.004068360962612416,0.25288291153904296,0.5029373170710061,0.3444947433974378,0.6632687488848826
-health,14,0.0,287.66666666666663,2121.4596291976472,-0.09961658504906398,0.19975688635457445,0.48274143644381096,0.7453157690883702,0.7669536948965592
