variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
-health,22,2.0,360.3333333333333,2282.080975085136,-0.15373047235100523,0.21773923059348532,0.3193811339756949,0.704100823441634,0.7537502652546069
hard-only,22,0.0,358.3333333333333,2904.197530121748,-0.16799154974670683,0.12937515801235389,0.294214643028502,0.7204652405015052,0.7680113426503083
hard-only,22,1.0,358.3333333333333,2904.197530121748,-0.1591431512451446,0.13037858483382136,0.29150770632111445,0.7029855470353611,0.7591629441487463
hard-only,22,2.0,358.3333333333333,2904.197530121748,-0.15029475274358228,0.1313820116552894,0.2885786777880237,0.6855058535692163,0.7503145456471839
Full,23,0.0,590.3333333333334,4517.450816008393,-0.05896852479751258,0.12003841739361232,0.502757155569421,0.3446976272005844,0.6785020068818498
Full,23,1.0,590.3333333333334,4517.450816008393,-0.05349836099427755,0.1252388586750357,0.4983185143481108,0.3446976272005844,0.6730318430786149
Full,23,2.0,590.3333333333334,4517.450816008393,-0.04802819719104277,0.13043929995645787,0.49792780345724297,0.3446976272005844,0.66756167927538
-health,23,0.0,308.00000000000006,2222.944714785815,-0.13422559838182274,0.060048365792578884,0.38759679718613294,0.7378878585634229,0.75375908046616
-health,23,1.0,308.00000000000006,2222.944714785815,-0.12557263375760555,0.06402023284754388,0.3867352813065221,0.726842057269178,0.7451061158419428
-health,23,2.0,308.00000000000006,2222.944714785815,-0.11691966913338817,0.0679920999025091,0.38578918782801175,0.7117576956068737,0.7364531512177254
hard-only,23,0.0,300.3333333333333,2895.6210774167826,-0.13608195856081262,0.07115350990802549,0.3817029202139637,0.7365736043704139,0.7556154406451498
hard-only,23,1.0,300.3333333333333,2895.6210774167826,-0.12744547174906207,0.07535248499489111,0.37919267197059425,0.7205989207493284,0.7469789538333994
hard-only,23,2.0,300.3333333333333,2895.6210774167826,-0.11880898493731125,0.07955146008175629,0.3776066743513944,0.7046242371282427,0.7383424670216485
Full,24,0.0,707.0000000000001,4685.496993497575,-0.055433149452550026,0.23036376199237996,0.4649446301689939,0.32166439541288444,0.6654506053366801
Full,24,1.0,707.0000000000001,4685.496993497575,-0.05096944975413179,0.23138728003399733,0.465741704629113,0.32166439541288444,0.6609869056382618
Full,24,2.0,707.0000000000001,4685.496993497575,-0.046505750055713425,0.23241079807561504,0.4610314922045742,0.32166439541288444,0.6565232059398436
-health,24,0.0,282.33333333333337,2095.778190040134,-0.1560693068305407,0.19831843479381372,0.38132466380209373,0.7432591672094593,0.7660867627146708
-health,24,1.0,282.33333333333337,2095.778190040134,-0.14802758761024074,0.19919711526152795,0.3818565071283466,0.7296366340995971,0.7580450434943709
-health,24,2.0,282.33333333333337,2095.778190040134,-0.13998586838994076,0.20007579572924317,0.3826366831832597,0.7160141009897341,0.7500033242740709
hard-only,24,0.0,270.0,2679.0620052921795,-0.15481930783527262,0.21729341191145535,0.3746392514876642,0.7427742303472424,0.7648367637194028
hard-only,24,1.0,270.0,2679.0620052921795,-0.1465660943618367,0.21824667407867593,0.37426937734705135,0.7385959763411236,0.7565835502459668
hard-only,24,2.0,270.0,2679.0620052921795,-0.1383128808884008,0.2191999362458964,0.3743963181071921,0.7278689582130999,0.7483303367725309
Full,25,0.0,643.6666666666666,5022.265194623195,-0.009383200490785514,0.21518356252773996,0.4780726234540409,0.4027034875465211,0.7007300555456308
Full,25,1.0,643.6666666666666,5022.265194623195,-0.006061536113131372,0.21671818850660762,0.4845049012140592,0.4027034875465211,0.6974083911679767
Full,25,2.0,643.6666666666666,5022.265194623195,-0.0027398717354771398,0.21825281448547573,0.4910206586643584,0.4027034875465211,0.6940867267903225
-health,25,0.0,368.3333333333333,2153.554032924886,-0.0811052411618354,0.19455184263489433,0.4110963258204805,0.7274558529925045,0.7724520962166808
-health,25,1.0,368.3333333333333,2153.554032924886,-0.07511876858464585,0.19592004317006906,0.4150832639937547,0.7192099271859171,0.7664656236394912
-health,25,2.0,368.3333333333333,2153.554032924886,-0.06913229600745606,0.197288243705245,0.41926796786055687,0.7109640013793302,0.7604791510623012
hard-only,25,0.0,338.0,2762.160235490247,-0.0777869893586586,0.17338877162955513,0.39407341269700114,0.7392604106600322,0.7691338444135039
hard-only,25,1.0,338.0,2762.160235490247,-0.07138157892095473,0.17461867114867557,0.39332693463017243,0.7314267745811328,0.7627284339758
hard-only,25,2.0,338.0,2762.160235490247,-0.06497616848325083,0.1758485706677957,0.3930683473206207,0.7235931385022328,0.7563230235380961
Full,26,0.0,505.0,4208.584792705722,-0.04866301936427534,0.23838544251211413,0.3717328825113666,0.48011293993305404,0.7288067516770731
Full,26,1.0,505.0,4208.584792705722,-0.04507208481739683,0.23904971787901852,0.38295392340506984,0.48011293993305404,0.7252158171301946
Full,26,2.0,505.0,4208.584792705722,-0.041481150270518394,0.23971399324592313,0.3945311421883755,0.48011293993305404,0.7216248825833163
-health,26,0.0,325.33333333333337,2168.8637879388243,-0.09877055319086422,0.2374389503198262,0.23594974833151694,0.7362536694029229,0.7789142855036622
-health,26,1.0,325.33333333333337,2168.8637879388243,-0.09261974255502904,0.23808471243455898,0.23643656769183186,0.7322268552342364,0.7727634748678269
-health,26,2.0,325.33333333333337,2168.8637879388243,-0.08646893191919384,0.23873047454929197,0.2371201172678239,0.7238554747354892,0.7666126642319917
hard-only,26,0.0,378.0,2794.5698889053,-0.10201821344289308,0.24957628219196737,0.25933149085430984,0.7241163375307818,0.7821619457556908
hard-only,26,1.0,378.0,2794.5698889053,-0.09594180588101765,0.2502622892191054,0.2602373563377194,0.7158890711699489,0.7760855381938154
hard-only,26,2.0,378.0,2794.5698889053,-0.08986539831914206,0.2509482962462428,0.2611958626306492,0.7071771611760459,0.7700091306319398
Full,27,0.0,614.3333333333334,4805.649224256009,-0.05095518193702477,0.19801873556602112,0.32466594715017383,0.4272712675976485,0.7199821674097768
Full,27,1.0,614.3333333333334,4805.649224256009,-0.04685123956334961,0.20082779479134794,0.32702740772407357,0.4272712675976485,0.7158782250361017
Full,27,2.0,614.3333333333334,4805.649224256009,-0.04274729718967437,0.20363685401667597,0.33117718924253015,0.4272712675976485,0.7117742826624264
-health,27,0.0,299.0,2149.14508397011,-0.0913235586151156,0.18484818338519793,0.25468105195741675,0.7442265373484991,0.7603505440878676
-health,27,1.0,299.0,2149.14508397011,-0.08393296964882706,0.18635807985923836,0.2444092202267596,0.7339305338405314,0.7529599551215791
-health,27,2.0,299.0,2149.14508397011,-0.07654238068253841,0.1878679763332789,0.23562250448422795,0.7208535211546122,0.7455693661552905
hard-only,27,0.0,290.0,2873.359431391777,-0.09049364358704341,0.16187583935428063,0.24135279868899429,0.7458190014515208,0.7595206290597954
hard-only,27,1.0,290.0,2873.359431391777,-0.08315720197950828,0.1632285920650205,0.2323275518732002,0.7358044928236271,0.7521841874522603
hard-only,27,2.0,290.0,2873.359431391777,-0.07582076037197293,0.16458134477576047,0.22302261006829727,0.7225985170733777,0.7448477458447249
Full,28,0.0,600.6666666666666,4966.810713422113,-0.03838392163127857,0.25358194413468427,0.4524150483830063,0.31175271691063217,0.665937307586119
Full,28,1.0,600.6666666666666,4966.810713422113,-0.03412348475919774,0.25427967795804485,0.449012444048438,0.31175271691063217,0.661676870714038
Full,28,2.0,600.6666666666666,4966.810713422113,-0.0298630478871173,0.25497741178140443,0.4455544762929391,0.31175271691063217,0.6574164338419576
-health,28,0.0,319.3333333333333,2220.631958800163,-0.13106127867739684,0.21008012097564344,0.32958328332392095,0.7318714321512321,0.7586146646322371
-health,28,1.0,319.3333333333333,2220.631958800163,-0.12264890261947961,0.21065280153004473,0.3268838515498884,0.7203652080246176,0.7502022885743199
-health,28,2.0,319.3333333333333,2220.631958800163,-0.11423652656156225,0.21122548208444647,0.3255391326007313,0.7088589838980026,0.7417899125164025
hard-only,28,0.0,309.66666666666663,2806.1580544951576,-0.13066195146375476,0.20676894216531494,0.3462819078732138,0.7404720698613356,0.758215337418595
hard-only,28,1.0,309.66666666666663,2806.1580544951576,-0.12239571108708391,0.20733085863870693,0.3464638937225184,0.7240067856864802,0.7499490970419243
hard-only,28,2.0,309.66666666666663,2806.1580544951576,-0.11412947071041339,0.20789277511209936,0.34473344722464017,0.7075385396822378,0.7416828566652536
Full,29,0.0,615.6666666666667,4037.1298568886004,0.026564169493972604,0.2508158695578031,0.36874178447833184,0.31988456043043434,0.7152284143120723
Full,29,1.0,615.6666666666667,4037.1298568886004,0.02964635874292539,0.2517400710928547,0.3703709948944447,0.31988456043043434,0.7121462250631195
Full,29,2.0,615.6666666666667,4037.1298568886004,0.032728547991878125,0.2526642726279059,0.3659481883942124,0.31988456043043434,0.7090640358141667
-health,29,0.0,283.0,1993.6869742649749,-0.0249632038654856,0.21456864473409953,0.3859039102836803,0.7497188752427801,0.7667557876715303
-health,29,1.0,283.0,1993.6869742649749,-0.01946418132189138,0.21533803708281973,0.3852938650246096,0.7380280952274804,0.7612567651279363
-health,29,2.0,283.0,1993.6869742649749,-0.013965158778296988,0.21610742943153916,0.3782917138242221,0.7252754914585036,0.7557577425843418
hard-only,29,0.0,283.0,2510.101806652885,-0.0249632038654856,0.21456864473409953,0.3859039102836803,0.7497188752427801,0.7667557876715303
hard-only,29,1.0,283.0,2510.101806652885,-0.01946418132189138,0.21533803708281973,0.3852938650246096,0.7380280952274804,0.7612567651279363
hard-only,29,2.0,283.0,2510.101806652885,-0.013965158778296988,0.21610742943153916,0.3782917138242221,0.7252754914585036,0.7557577425843418
Full,30,0.0,378.6666666666667,3633.1260265825754,0.028172781663989066,0.17737693400559373,0.46946382618686244,0.4751211043733303,0.704326835749482
Full,30,1.0,378.6666666666667,3633.1260265825754,0.03216785951708082,0.1793779351250685,0.4781428927691589,0.4751211043733303,0.7003317578963901
Full,30,2.0,378.6666666666667,3633.1260265825754,0.03616293737017253,0.18137893624454304,0.48141784678801636,0.4751211043733303,0.6963366800432984
-health,30,0.0,281.6666666666667,1851.353629967009,-0.03930338549768157,0.14772667403547934,0.39114467351794,0.7528222654173522,0.7718030029111526
-health,30,1.0,281.6666666666667,1851.353629967009,-0.03368749142163733,0.14906922616356777,0.38592473417646356,0.7465108751476406,0.7661871088351084
-health,30,2.0,281.6666666666667,1851.353629967009,-0.02807159734559279,0.15041177829165664,0.3774503207671398,0.7370616977665564,0.7605712147590638
hard-only,30,0.0,261.66666666666663,2362.0465283935346,-0.03938965413369775,0.16558884049890243,0.3612495037649879,0.7525085973047544,0.7718892715471688
hard-only,30,1.0,261.66666666666663,2362.0465283935346,-0.03384469745518929,0.1674474963758359,0.3628307255939287,0.7506355123812387,0.7663443148686603
hard-only,30,2.0,261.66666666666663,2362.0465283935346,-0.028299740776681192,0.16932058129935057,0.366050566912544,0.7405556306391735,0.7607993581901521
