scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,EHCO,40,0,150.0,180.0,220.0,thermal,6,0.7,270.0,697.0,158.14814814814815,0,53,53,100.0,3,123.07430000146269,534.3049000002793,28000,440.0,1,464.0,1,0.5713665147005458,10
compound,A*-GA,40,0,150.0,180.0,220.0,thermal,6,0.7,304.0,1484.0,388.15789473684214,0,53,53,100.0,0,,0.0,0,442.0,2,None,1,0.5582067575918681,10
compound,noFLC,40,0,150.0,180.0,220.0,thermal,6,0.7,270.0,624.0,131.11111111111111,0,53,53,100.0,2,123.55199999728939,237.3141999960353,8000,440.0,1,464.0,1,0.5808900127158894,10
compound,moead-cl,40,0,150.0,180.0,220.0,thermal,6,0.7,270.0,637.0,135.92592592592592,0,53,53,100.0,3,558.022000001074,3866.723399998591,28000,440.0,1,None,1,0.566551753443642,10
compound,EHCO,41,0,150.0,180.0,220.0,thermal,6,0.7,397.0,1137.0,186.39798488664988,0,53,53,100.0,2,125.48750000132713,237.28050000136136,8000,449.0,1,None,1,0.5584810408922646,10
compound,A*-GA,41,0,150.0,180.0,220.0,thermal,6,0.7,291.0,1567.0,438.4879725085911,0,53,53,100.0,0,,0.0,0,460.0,2,None,1,0.5582532322967314,10
compound,noFLC,41,0,150.0,180.0,220.0,thermal,6,0.7,397.0,671.0,69.0176322418136,0,53,53,100.0,3,125.25129999994533,650.3315000009025,28000,450.0,3,537.0,1,0.5898240365584679,10
compound,moead-cl,41,0,150.0,180.0,220.0,thermal,6,0.7,397.0,572.0,44.08060453400503,0,53,53,100.0,2,548.7580000008165,1094.3432000021858,8000,446.0,7,530.0,1,0.5981961002139794,10
compound,EHCO,42,0,150.0,180.0,220.0,thermal,6,0.7,371.0,663.0,78.70619946091644,0,53,53,100.0,3,127.68990000040503,691.3764000019,28000,441.0,4,554.0,1,0.5919011129087868,10
compound,A*-GA,42,0,150.0,180.0,220.0,thermal,6,0.7,302.0,1200.0,297.3509933774834,0,53,53,100.0,0,,0.0,0,455.0,7,None,1,0.5582915779176431,10
compound,noFLC,42,0,150.0,180.0,220.0,thermal,6,0.7,371.0,693.0,86.79245283018868,0,53,53,100.0,2,124.09479999769246,233.28039999614703,8000,441.0,4,554.0,1,0.5919011129087868,10
compound,moead-cl,42,0,150.0,180.0,220.0,thermal,6,0.7,371.0,636.0,71.42857142857143,0,53,53,100.0,3,548.5120000012103,3849.6110000050976,28000,441.0,4,554.0,1,0.5919011129087868,10
