scenario,strategy,beta,seed,instance,t_inj,fault_type,f1_base,f1_event,deg_pct,timeout,response_ms,warn_t,lead_time,warn_agv,detected,false_pos,maint_enter,min_h,replan_applied
fault,EHCO,0.0005,13,2,181.7052044143888,thermal,312.0,380.0,21.794871794871796,0,,515.0,333.2947955856112,9,1,0,None,0.5998559853855886,0
fault,EHCO,0.0005,14,2,181.7052044143888,thermal,280.0,280.0,0.0,0,,530.0,348.2947955856112,3,1,0,None,0.5999632618500327,0
fault,EHCO,0.0005,15,2,181.7052044143888,thermal,369.0,369.0,0.0,0,,533.0,351.2947955856112,3,1,0,None,0.5997706344136737,0
fault,EHCO,0.0005,16,2,181.7052044143888,thermal,300.0,300.0,0.0,0,,527.0,345.2947955856112,2,1,0,None,0.5998587328337752,0
fault,EHCO,0.0005,17,2,181.7052044143888,thermal,391.0,391.0,0.0,0,,536.0,354.2947955856112,6,1,0,None,0.599910698602579,0
fault,EHCO,0.0005,18,2,181.7052044143888,thermal,428.0,428.0,0.0,0,,540.0,358.2947955856112,8,1,0,None,0.5999957747718071,0
fault,EHCO,0.0005,19,2,181.7052044143888,thermal,308.0,404.0,31.16883116883117,0,,521.0,339.2947955856112,7,1,0,None,0.5998872791576341,0
fault,EHCO,0.0005,20,2,181.7052044143888,thermal,399.0,452.0,13.283208020050125,0,,523.0,341.2947955856112,5,1,0,None,0.5998332695416441,0
fault,EHCO,0.0005,21,2,181.7052044143888,thermal,337.0,487.0,44.510385756676556,0,,528.0,346.2947955856112,8,1,0,None,0.5997289146106748,0
fault,EHCO,0.0005,22,2,181.7052044143888,thermal,344.0,507.0,47.383720930232556,0,,526.0,344.2947955856112,5,1,0,None,0.5999545930514014,0
fault,EHCO,0.0005,23,2,181.7052044143888,thermal,357.0,406.0,13.725490196078432,0,,522.0,340.2947955856112,4,1,0,None,0.5999387912403593,0
fault,EHCO,0.0005,24,2,181.7052044143888,thermal,275.0,275.0,0.0,0,,539.0,357.2947955856112,6,1,0,None,0.5998775908826439,0
fault,EHCO,0.0005,25,2,181.7052044143888,thermal,356.0,619.0,73.87640449438202,0,,509.0,327.2947955856112,5,1,0,None,0.577120052766118,0
fault,EHCO,0.0005,26,2,181.7052044143888,thermal,285.0,285.0,0.0,0,,536.0,354.2947955856112,1,1,0,None,0.5999709201688344,0
fault,EHCO,0.0005,27,2,181.7052044143888,thermal,473.0,473.0,0.0,0,,524.0,342.2947955856112,6,1,0,None,0.5998916703040144,0
fault,EHCO,0.0005,28,2,181.7052044143888,thermal,335.0,447.0,33.43283582089553,0,,534.0,352.2947955856112,0,1,0,None,0.5999617434216323,0
fault,EHCO,0.0005,29,2,181.7052044143888,thermal,348.0,348.0,0.0,0,,535.0,353.2947955856112,9,1,0,None,0.5997393965554435,0
fault,EHCO,0.0005,30,2,181.7052044143888,thermal,302.0,398.0,31.788079470198678,0,,527.0,345.2947955856112,6,1,0,None,0.5999301013273755,0
fault,EHCO,0.0005,1,3,87.05594713886512,vibration,316.0,316.0,0.0,0,425.9315000017523,211.0,123.94405286113488,9,1,0,None,0.47170112358550265,1
fault,EHCO,0.0005,2,3,87.05594713886512,vibration,325.0,486.0,49.53846153846154,0,415.4387999988103,204.0,116.94405286113488,1,1,0,None,0.37129684161901233,1
fault,EHCO,0.0005,3,3,87.05594713886512,vibration,307.0,346.0,12.703583061889251,0,388.1725000028382,222.0,134.94405286113488,4,1,0,281.0,0.4871509134293818,1
fault,EHCO,0.0005,4,3,87.05594713886512,vibration,394.0,342.0,-13.19796954314721,0,421.37600000205566,225.0,137.94405286113488,7,1,0,None,0.458728217200194,1
fault,EHCO,0.0005,5,3,87.05594713886512,vibration,334.0,486.0,45.50898203592814,0,401.6868000035174,217.0,129.94405286113488,0,1,0,None,0.37350940682770994,1
fault,EHCO,0.0005,6,3,87.05594713886512,vibration,297.0,353.0,18.855218855218855,0,409.0187000001606,216.0,128.94405286113488,1,1,0,None,0.44896459196060057,1
fault,EHCO,0.0005,7,3,87.05594713886512,vibration,355.0,357.0,0.5633802816901409,0,415.7895999996981,214.0,126.94405286113488,0,1,0,260.0,0.4687187919917532,1
fault,EHCO,0.0005,8,3,87.05594713886512,vibration,350.0,348.0,-0.5714285714285714,0,442.3255000001518,218.0,130.94405286113488,4,1,0,269.0,0.47967801250029274,1
fault,EHCO,0.0005,9,3,87.05594713886512,vibration,373.0,484.0,29.75871313672922,0,404.8870000005991,213.0,125.94405286113488,7,1,0,None,0.3721005386304114,1
