seed,algo,row,f1,f2,f3,f4,knee
1,NSGA-III,21,308.6666666666667,2457.7431621080523,1393.6666666666667,0.0,0
1,NSGA-III,22,308.6666666666667,2428.5754595200788,1407.3333333333333,0.0,0
1,NSGA-III,23,335.3333333333333,2573.0345167211813,1358.9999999999998,0.0,0
1,NSGA-III,24,335.3333333333333,2573.0345167211813,1358.9999999999998,0.0,0
1,NSGA-III,25,310.33333333333337,2386.891266243542,1383.6666666666667,0.0,0
1,NSGA-III,26,310.3333333333333,2396.8386898263375,1375.0,0.0,0
1,NSGA-III,27,348.00000000000006,2490.002671373437,1363.5000000000002,0.0,0
1,NSGA-III,28,338.0,2484.5723608105786,1365.3333333333335,0.0,0
1,NSGA-III,29,308.0,2438.0709849802492,1411.3333333333335,0.0,0
1,NSGA-III,30,308.6666666666667,2448.3282732191633,1401.666666666667,0.0,0
1,NSGA-III,31,310.3333333333333,2396.8386898263375,1375.0,0.0,0
1,NSGA-III,32,306.33333333333337,2490.1228706695183,1414.5,0.0,0
1,NSGA-III,33,326.3333333333333,2570.5859861226336,1362.8333333333333,0.0,0
1,NSGA-III,34,337.33333333333337,2452.367447621891,1371.3333333333333,0.0,0
1,NSGA-III,35,310.3333333333333,2396.8386898263375,1375.0,0.0,0
1,NSGA-III,36,310.3333333333333,2396.8386898263375,1375.0,0.0,0
1,NSGA-III,37,337.33333333333337,2452.367447621891,1371.3333333333333,0.0,0
1,NSGA-III,38,302.6666666666667,2492.5392204248847,1380.166666666667,0.0,0
1,NSGA-III,39,335.3333333333333,2563.869294498959,1365.4999999999998,0.0,0
1,NSGA-III,40,337.33333333333337,2509.5365537582184,1368.1666666666665,0.0,0
1,NSGA-III,41,310.3333333333333,2396.8386898263375,1375.0,0.0,0
1,MOEA/D,0,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,2,311.0,2223.711768135279,1378.8333333333333,0.0,0
1,MOEA/D,3,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,4,295.0,2231.125249616761,1364.5000000000002,0.0,1
1,MOEA/D,5,297.0,2227.319793570457,1377.1666666666667,0.0,0
1,MOEA/D,7,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,8,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,9,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,10,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,12,311.0,2221.9636570241682,1387.3333333333335,0.0,0
1,MOEA/D,13,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,14,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,15,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,16,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,18,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,19,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,21,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,22,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,23,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,24,294.33333333333337,2233.377619987131,1375.1666666666667,0.0,0
1,MOEA/D,25,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,26,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,27,356.0,2214.297916283427,1391.4999999999998,0.0,0
1,MOEA/D,28,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,29,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,30,311.0,2223.711768135279,1378.8333333333333,0.0,0
1,MOEA/D,31,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,32,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,33,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,34,311.0,2223.711768135279,1378.8333333333333,0.0,0
1,MOEA/D,35,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,36,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,37,311.0,2221.9636570241682,1387.3333333333335,0.0,0
1,MOEA/D,39,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,40,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,41,311.0,2223.711768135279,1378.8333333333333,0.0,0
1,MOEA/D,42,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,43,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,45,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,46,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,47,311.0,2223.711768135279,1378.8333333333333,0.0,0
1,MOEA/D,48,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,49,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,50,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,51,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,52,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,53,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,54,295.0,2253.8749533204646,1363.1666666666667,0.0,0
1,MOEA/D,55,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,57,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,58,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,59,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,60,295.0,2227.6262496167606,1369.0,0.0,0
1,MOEA/D,61,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,62,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,64,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,65,325.3333333333333,2219.961545913057,1377.8333333333333,0.0,0
1,MOEA/D,66,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,67,295.0,2253.8749533204646,1363.1666666666667,0.0,0
1,MOEA/D,68,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,69,294.33333333333337,2264.286603371537,1357.5000000000002,0.0,0
1,MOEA/D,71,305.3333333333333,2280.0775566487227,1350.5000000000002,0.0,0
1,MOEA/D,72,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,73,325.3333333333333,2340.366121890055,1340.3333333333333,0.0,0
1,MOEA/D,74,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,75,311.0,2221.9636570241682,1387.3333333333335,0.0,0
1,MOEA/D,76,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,77,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,78,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,79,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,80,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,82,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,83,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,84,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,85,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,86,295.0,2227.6262496167606,1369.0,0.0,0
1,MOEA/D,87,325.3333333333333,2256.1232496167604,1355.5,0.0,0
1,MOEA/D,88,294.33333333333337,2277.7854922604256,1352.5,0.0,0
1,MOEA/D,89,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,90,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,91,295.0,2227.6262496167606,1369.0,0.0,0
1,MOEA/D,92,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,93,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,94,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,95,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,97,325.3333333333333,2243.291027394538,1360.5,0.0,0
1,MOEA/D,98,295.0,2231.125249616761,1364.5000000000002,0.0,0
1,MOEA/D,99,295.0,2253.8749533204646,1363.1666666666667,0.0,0
1,GA-SA,0,290.3333333333333,2337.099268565971,1325.8333333333335,0.0,1
1,A*-GA,0,308.3333333333333,2480.942774160036,1432.1666666666665,0.0,1
1,A*-GA,1,308.3333333333333,2462.3927010423017,1436.8333333333333,0.0,0
1,A*-GA,2,308.3333333333333,2471.932820575377,1434.5,0.0,0
1,LWC,0,309.3333333333333,2430.5319948555943,1400.3333333333333,0.0,0
1,LWC,1,307.66666666666663,2423.3801815206516,1402.1666666666667,0.0,0
1,LWC,2,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,3,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,4,322.6666666666667,2444.0842577792105,1385.8333333333333,0.0,0
1,LWC,5,322.6666666666667,2444.0842577792105,1385.8333333333333,0.0,0
1,LWC,6,315.6666666666667,2409.886186315086,1393.6666666666667,0.0,0
1,LWC,7,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,8,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,9,341.0,2392.3032788420605,1394.9999999999998,0.0,0
1,LWC,10,315.6666666666667,2385.261584824134,1398.6666666666667,0.0,0
1,LWC,11,305.0,2433.630124602383,1387.0,0.0,1
1,LWC,12,307.66666666666663,2423.3801815206516,1402.1666666666667,0.0,0
1,LWC,13,307.66666666666663,2423.3801815206516,1402.1666666666667,0.0,0
1,LWC,14,341.0,2441.8962305861164,1381.6666666666665,0.0,0
1,LWC,15,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,16,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,17,341.0,2429.563490239084,1387.833333333333,0.0,0
1,LWC,18,338.0,2545.343793116437,1368.5,0.0,0
1,LWC,19,312.0,2469.2073096686618,1371.0,0.0,0
1,LWC,20,346.6666666666667,2448.4194904041556,1381.0,0.0,0
1,LWC,21,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,22,322.6666666666667,2444.0842577792105,1385.8333333333333,0.0,0
1,LWC,23,307.66666666666663,2423.3801815206516,1402.1666666666667,0.0,0
1,LWC,24,313.0,2377.4377547581207,1412.0,0.0,0
1,LWC,25,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,26,341.0,2441.8962305861164,1381.6666666666665,0.0,0
1,LWC,27,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,28,315.6666666666667,2385.261584824134,1398.6666666666667,0.0,0
1,LWC,29,312.3333333333333,2415.3563979287223,1392.1666666666665,0.0,0
1,LWC,30,331.3333333333333,2453.8562675772937,1385.1666666666667,0.0,0
1,LWC,31,307.66666666666663,2423.3801815206516,1402.1666666666667,0.0,0
1,LWC,32,320.6666666666667,2423.570382544265,1388.6666666666665,0.0,0
1,LWC,33,316.6666666666667,2429.7416101155804,1386.1666666666667,0.0,0
