seed,algo,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
8,NSGA-II-3obj,319.3333333333333,2584.1601265826484,1396.6666666666667,0.0,0.3303599046884942,0.4809176266910863,41,20000,0.79,0.06634150501824852,0.21673246357141096,0.5189189734739281,83.10406975314675,0.8980000000000007
8,NSGA-III,327.3333333333333,2536.5007696370076,1400.5,0.0,0.3517719045271443,0.39911433873791435,59,20000,0.864,0.06479375677840321,0.1656228038193852,0.37753609670186905,84.50672006492177,0.8920000000000007
8,MOEA/D,288.66666666666663,2362.9431359854034,1364.1666666666667,0.0,0.8588786826610456,0.9909150990735721,99,20000,3.081,0.06671795218919038,0.18826392707719364,0.48323636705584216,82.65899299431013,0.7760000000000006
8,GA-SA,294.0,2496.8157446841137,1368.8333333333335,0.0,0.5263994207462569,0.6058319725730968,1,20000,6.518,0.06728962349415582,0.18834295979249482,0.44753232868212756,83.78349250788622,0.7920000000000006
8,A*-GA,306.6666666666667,2383.4874699412344,1441.5,0.0,0.19332856572493162,1.0,1,20000,1.162,0.06846529191971726,0.18854335054756766,0.5058237706719575,81.95225458025874,0.8440000000000006
8,LWC,292.6666666666667,2472.5912899964405,1386.8333333333333,0.0,0.527773189662253,0.6036957798148019,19,20000,0.825,0.06746776673963684,0.1759736267545734,0.4591127606434269,84.88800241311984,0.7880000000000006
9,AW-NSGA-II,313.3333333333333,2508.243806401605,1334.0,0.0,0.3995344193605211,0.3017738705107353,36,20000,0.808,0.08945244709131848,0.19705961602637379,0.310236171589658,86.0810311738388,0.8500000000000006
9,NSGA-II-2obj,324.3333333333333,2387.8908581342635,1397.8333333333333,0.0,0.2378715598755034,0.8323473439584388,5,20000,0.891,0.09287320280237411,0.24011127171368118,0.366084400837591,81.05108705435121,0.8980000000000007
9,NSGA-II-3obj,340.33333333333337,2445.2779422373637,1318.0,0.0,0.5445277867351194,0.5199788701125612,51,20000,0.786,0.0898080169896675,0.25722382568637936,0.3677880043003321,84.9699238345994,0.9160000000000007
9,NSGA-III,345.0,2560.284020739338,1327.0000000000002,0.0,0.28587315139918734,0.195366962746287,58,20000,0.815,0.08818655861589543,0.23627532961852948,0.396115182389307,84.1789420242629,0.9300000000000007
